# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_42559.root : dRtdkH1
# GENERATED: 2025-11-17 13:03:35
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.907218
# E_MAX_AVAILABLE 11.406374
# TOTAL_BINS 649
# TOTAL_COUNTS 13263793923.59
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.907218  2.932621  21342094.3567
2.932621  2.965240  22618026.0678
2.965240  2.990666  23820377.7036
2.990666  3.023366  24934976.1076
3.023366  3.048792  25949773.8200
3.048792  3.081411  26855189.2075
3.081411  3.106837  27644336.9471
3.106837  3.139630  28313140.3149
3.139630  3.164998  28860324.1891
3.164998  3.197780  29287294.9044
3.197780  3.223090  29597919.5199
3.223090  3.255964  29798222.2313
3.255964  3.281239  29896019.2279
3.281239  3.314044  29900515.1311
3.314044  3.339296  29821884.2416
3.339296  3.372263  29670858.3462
3.372263  3.397445  29458340.0631
3.397445  3.430494  29195057.0003
3.430494  3.455641  28891267.7663
3.455641  3.488725  28556526.4859
3.488725  3.513849  28199508.2941
3.513849  3.546991  27827894.5757
3.546991  3.572091  27448313.6878
3.572091  3.603536  27066330.6472
3.603536  3.627661  26686477.8107
3.627661  3.661860  26312317.8801
3.661860  3.685857  25946530.5161
3.685857  3.720126  25591014.3359
3.720126  3.744029  25246996.9283
3.744029  3.778229  24915146.6326
3.778229  3.802074  24595681.0382
3.802074  3.836495  24288468.3884
3.836495  3.860317  23993119.2187
3.860317  3.894679  23709066.5798
3.894679  3.918397  23435634.0615
3.918397  3.953049  23172091.5322
3.953049  3.976697  22917699.0481
3.976697  4.011385  22671739.7841
4.011385  4.034951  22433543.1091
4.034951  4.069720  22202499.0962
4.069720  4.093205  21978065.8462
4.093205  4.169890  21759771.0186
4.169890  4.194084  21547208.9280
4.194084  4.227981  21340034.4834
4.227981  4.252082  21137955.1302
4.252082  4.286119  20940721.8085
4.286119  4.310139  20748119.7768
4.310139  4.344303  20559959.9677
4.344303  4.368218  20376071.3605
4.368218  4.401779  20196294.6793
4.401779  4.425148  20020477.5588
4.425148  4.459963  19848471.1839
4.459963  4.483251  19680128.2914
4.483251  4.518624  19515302.3472
4.518624  4.542225  19353847.6590
4.542225  4.576645  19195620.1664
4.576645  4.600119  19040478.6569
4.600119  4.634632  18888286.1822
4.634632  4.658001  18738911.4833
4.658001  4.692666  18592230.2835
4.692666  4.715918  18448126.3492
4.715918  4.749444  18306492.2624
4.749444  4.771732  18167229.8860
4.771732  4.807326  18030250.5304
4.807326  4.829847  17895474.8516
4.829847  4.867277  17762832.5229
4.867277  4.889437  17632261.7323
4.889437  4.924183  17503708.5548
4.924183  4.946436  17377126.2520
4.946436  4.982588  17252474.5397
4.982588  5.005922  17129718.8632
5.005922  5.040284  17008829.7072
5.040284  5.061190  16889781.9589
5.061190  5.099456  16772554.3370
5.099456  5.122163  16657128.8864
5.122163  5.155468  16543490.5355
5.155468  5.177407  16431626.7063
5.177407  5.215534  16321526.9636
5.215534  5.236986  16213182.6908
5.236986  5.272278  16106586.7801
5.272278  5.293869  16001733.3289
5.293869  5.330718  15898617.3414
5.330718  5.353308  15797234.4394
5.353308  5.388356  15697580.5956
5.388356  5.408587  15599651.9072
5.408587  5.446366  15503444.4340
5.446366  5.467643  15408954.1239
5.467643  5.503690  15316176.8487
5.503690  5.524898  15225108.5652
5.524898  5.562677  15135745.6058
5.562677  5.582571  15048085.0931
5.582571  5.615341  14962125.4554
5.615341  5.637444  14877867.0137
5.637444  5.672735  14795312.5961
5.672735  5.694292  14714468.1371
5.694292  5.731687  14635343.2172
5.731687  5.752058  14557951.5071
5.752058  5.788988  14482311.0923
5.788988  5.810788  14408444.6672
5.810788  5.847172  14336379.6028
5.847172  5.867845  14266147.9048
5.867845  5.905380  14197786.0882
5.905380  5.925356  14131334.9998
5.925356  5.962611  14066839.6216
5.962611  5.983970  14004348.8842
5.983970  6.019994  13943915.5157
6.019994  6.040644  13885595.9445
6.040644  6.078840  13829450.2668
6.078840  6.098479  13775542.2867
6.098479  6.137466  13723939.6277
6.137466  6.157524  13674713.9143
6.157524  6.194791  13627941.0191
6.194791  6.214127  13583701.3672
6.214127  6.249187  13542080.2935
6.249187  6.274973  13503168.4449
6.274973  6.307790  13467062.2246
6.307790  6.333971  13433864.2765
6.333971  6.360861  13403684.0132
6.360861  6.393863  13376638.1912
6.393863  6.424437  13352851.5439
6.424437  6.448468  13332457.4789
6.448468  6.476637  13315598.8454
6.476637  6.510139  13302428.7671
6.510139  6.539167  13293111.5239
6.539167  6.563745  13287823.4448
6.563745  6.596712  13286753.7498
6.596712  6.621476  13290105.2568
6.621476  6.652073  13298094.8473
6.652073  6.683367  13310953.5755
6.683367  6.708619  13328926.3152
6.708619  6.740146  13352270.8709
6.740146  6.769162  13381256.5366
6.769162  6.798028  13416162.1659
6.798028  6.826254  13457273.9056
6.826254  6.856874  13504882.8261
6.856874  6.884404  13559282.7325
6.884404  6.913734  13620768.4375
6.913734  6.943390  13689634.7091
6.943390  6.971535  13766175.9578
6.971535  7.015240  13850686.5231
7.015240  7.039759  13943461.1621
7.039759  7.072251  14044795.0741
7.072251  7.096840  14154982.5509
7.096840  7.130981  14274313.1452
7.130981  7.153955  14403064.1431
7.153955  7.188619  14541488.1422
7.188619  7.212616  14689794.7000
7.212616  7.245630  14848125.3923
7.245630  7.269534  15016522.2325
7.269534  7.304384  15194890.3027
7.304384  7.326707  15382956.6155
7.326707  7.361906  15580228.5974
7.361906  7.385298  15785956.9697
7.385298  7.418951  15999108.9390
7.418951  7.442181  16218358.1178
7.442181  7.477775  16442097.1409
7.477775  7.499505  16668477.2554
7.499505  7.537598  16895476.2168
7.537598  7.559165  17120991.9034
7.559165  7.592540  17342954.7555
7.592540  7.615061  17559448.3049
7.615061  7.636745  17768824.5712
7.636745  7.651758  17969800.6806
7.651758  7.657150  18161525.0116
7.657150  7.666156  18343605.2676
7.666156  7.672211  18516096.3569
7.672211  7.684749  18679451.7370
7.684749  7.687654  18834446.7674
7.687654  7.700065  18982085.6913
7.700065  7.705876  19123504.6611
7.705876  7.715602  19259881.8237
7.715602  7.722040  19392362.4771
7.722040  7.734695  19522003.5573
7.734695  7.737449  19649738.1026
7.737449  7.748988  19776357.5644
7.748988  7.754299  19902508.2216
7.754299  7.763270  20028697.4890
7.763270  7.769382  20155306.2874
7.769382  7.782002  20282604.4237
7.782002  7.784907  20410766.7156
7.784907  7.797341  20539888.1386
7.797341  7.803024  20669996.5315
7.803024  7.812460  20801061.5344
7.812460  7.818595  20932998.6936
7.818595  7.830611  21065668.3264
7.830611  7.833284  21198869.8671
7.833284  7.844660  21332333.9216
7.844660  7.849924  21465715.7365
7.849924  7.858930  21598594.7165
7.858930  7.865089  21730484.4681
7.865089  7.877756  21860856.3042
7.877756  7.880626  21989176.3451
7.880626  7.892886  22114952.8781
7.892886  7.898394  22237787.4322
7.898394  7.906804  22357421.0749
7.906804  7.907400  22473767.4517
7.907400  7.913292  22586926.1974
7.913292  7.917698  22697174.0434
7.917698  7.927457  22804935.2531
7.927457  7.927585  22910736.7756
7.927585  7.928565  23015155.8089
7.928565  7.939404  23118767.8753
7.939404  7.946631  23222102.1802
7.946631  7.946771  23325608.6010
7.946771  7.950217  23429637.9486
7.950217  7.961003  23534434.9309
7.961003  7.966572  23640141.9175
7.966572  7.967351  23746811.1465
7.967351  7.971763  23854423.0826
7.971763  7.982495  23962908.7684
7.982495  7.988024  24072173.9012
7.988024  7.990476  24182122.0161
7.990476  7.993202  24292673.8470
7.993202  8.003882  24403780.0723
8.003882  8.009231  24515425.5214
8.009231  8.009359  24627624.5032
8.009359  8.014536  24740408.8878
8.014536  8.025164  24853812.3688
8.025164  8.028591  24967855.3616
8.028591  8.030671  25082534.8495
8.030671  8.035766  25197822.0730
8.035766  8.046342  25313668.5982
8.046342  8.051147  25430018.6681
8.051147  8.051588  25546823.6911
8.051588  8.056892  25664053.9831
8.056892  8.067418  25781703.7782
8.067418  8.071053  25899787.8030
8.071053  8.071134  26018330.6174
8.071134  8.077917  26137352.4751
8.077917  8.088392  26256856.8017
8.088392  8.090529  26376824.1173
8.090529  8.092981  26497215.4314
8.092981  8.098841  26617985.3194
8.098841  8.109266  26739101.7529
8.109266  8.111562  26860567.0701
8.111562  8.112527  26982432.9947
8.112527  8.119666  27104803.0274
8.119666  8.130041  27227818.2400
8.130041  8.130597  27351627.2069
8.130597  8.130632  27476346.3080
8.130632  8.140391  27602020.9691
8.140391  8.150717  27728599.7411
8.150717  8.150828  27855930.6732
8.150828  8.153919  27983783.9254
8.153919  8.161019  28111897.6915
8.161019  8.171296  28240038.0922
8.171296  8.172559  28368059.1566
8.172559  8.173953  28495947.4318
8.173953  8.181550  28623838.1040
8.181550  8.190547  28751996.2262
8.190547  8.190617  28880766.8614
8.190617  8.191779  29010508.7878
8.191779  8.201985  29141533.5613
8.201985  8.209466  29274071.2396
8.209466  8.212167  29408274.5740
8.212167  8.212998  29544257.2670
8.212998  8.222325  29682144.5057
8.222325  8.231394  29822102.9259
8.231394  8.232461  29964319.9738
8.232461  8.233404  30108923.1300
8.233404  8.242572  30255862.4852
8.242572  8.250475  30404809.6050
8.250475  8.252661  30555131.3233
8.252661  8.262727  30705969.4321
8.262727  8.268917  30856408.0783
8.268917  8.272728  31005668.6587
8.272728  8.272770  31153262.5325
8.272770  8.282790  31299057.8770
8.282790  8.289299  31443257.8054
