# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_30888.root : dRtdkH1
# GENERATED: 2025-11-17 13:01:11
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.907819
# E_MAX_AVAILABLE 11.408730
# TOTAL_BINS 649
# TOTAL_COUNTS 11135595204.60
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.907819  2.933227  17824669.4620
2.933227  2.965853  18960610.3849
2.965853  2.991284  20025887.4552
2.991284  3.023991  21006508.9558
3.023991  3.049422  21890793.7587
3.049422  3.082048  22669732.0029
3.082048  3.107479  23337215.1663
3.107479  3.140279  23890126.7578
3.140279  3.165652  24328294.3453
3.165652  3.198440  24654312.6658
3.198440  3.223755  24873255.3885
3.223755  3.256637  24992299.1176
3.256637  3.281917  25020287.0412
3.281917  3.314729  24967261.1133
3.314729  3.339985  24843990.8726
3.339985  3.372960  24661524.2479
3.372960  3.398147  24430781.4186
3.398147  3.431203  24162207.5120
3.431203  3.456355  23865494.1985
3.456355  3.489445  23549374.6033
3.489445  3.514574  23221490.8412
3.514574  3.547723  22888329.2166
3.547723  3.572829  22555214.9241
3.572829  3.604281  22226355.9961
3.604281  3.628410  21904925.2428
3.628410  3.662617  21593168.8800
3.662617  3.686618  21292531.2598
3.686618  3.720894  21003786.3899
3.720894  3.744803  20727168.5356
3.744803  3.779009  20462495.9400
3.779009  3.802860  20209283.4183
3.802860  3.837287  19966841.1479
3.837287  3.861114  19734358.3228
3.861114  3.895483  19510971.4174
3.895483  3.919206  19295817.6181
3.919206  3.953866  19088074.5477
3.953866  3.977518  18886987.7597
3.977518  4.012213  18691887.6685
4.012213  4.035785  18502197.6441
4.035785  4.070561  18317434.9753
4.070561  4.094051  18137206.3258
4.094051  4.170751  17961199.1913
4.170751  4.194950  17789170.7253
4.194950  4.228854  17620935.1467
4.228854  4.252960  17456350.7740
4.252960  4.287004  17295307.5505
4.287004  4.311029  17137715.7356
4.311029  4.345200  16983496.2464
4.345200  4.369121  16832572.9411
4.369121  4.402688  16684866.9582
4.402688  4.426062  16540293.0651
4.426062  4.460884  16398757.8375
4.460884  4.484177  16260159.3956
4.484177  4.519557  16124388.3617
4.519557  4.543163  15991329.6800
4.543163  4.577591  15860864.9509
4.577591  4.601069  15732874.9664
4.601069  4.635589  15607242.1888
4.635589  4.658963  15483852.9768
4.658963  4.693635  15362599.4329
4.693635  4.716892  15243380.8006
4.716892  4.750425  15126104.3987
4.750425  4.772718  15010686.1143
4.772718  4.808319  14897050.5060
4.808319  4.830844  14785130.5860
4.830844  4.868282  14674867.3555
4.868282  4.890447  14566209.1678
4.890447  4.925200  14459110.9877
4.925200  4.947458  14353533.6091
4.947458  4.983617  14249442.8782
4.983617  5.006956  14146808.9624
5.006956  5.041325  14045605.6903
5.041325  5.062235  13945809.9787
5.062235  5.100509  13847401.3516
5.100509  5.123221  13750361.5458
5.123221  5.156532  13654674.1913
5.156532  5.178477  13560324.5493
5.178477  5.216612  13467299.2849
5.216612  5.238068  13375586.2541
5.238068  5.273367  13285174.2862
5.273367  5.294962  13196052.9472
5.294962  5.331819  13108212.2789
5.331819  5.354414  13021642.5191
5.354414  5.389469  12936333.8174
5.389469  5.409705  12852275.9713
5.409705  5.447491  12769458.2153
5.447491  5.468773  12687869.0987
5.468773  5.504827  12607496.4856
5.504827  5.526039  12528327.7032
5.526039  5.563825  12450349.8506
5.563825  5.583724  12373550.2655
5.583724  5.616501  12297917.1253
5.616501  5.638608  12223440.1433
5.638608  5.673907  12150111.3091
5.673907  5.695468  12077925.6142
5.695468  5.732870  12006881.7076
5.732870  5.753246  11936982.4343
5.753246  5.790183  11868235.2280
5.790183  5.811988  11800652.3447
5.811988  5.848380  11734250.9462
5.848380  5.869057  11669053.0588
5.869057  5.906599  11605085.4425
5.906599  5.926579  11542379.4132
5.926579  5.963843  11480970.6593
5.963843  5.985206  11420899.0886
5.985206  6.021237  11362208.7337
6.021237  6.041891  11304947.7360
6.041891  6.080096  11249168.4175
6.080096  6.099739  11194927.4452
6.099739  6.138734  11142286.0850
6.138734  6.158795  11091310.5396
6.158795  6.196070  11042072.3610
6.196070  6.215411  10994648.9267
6.215411  6.250477  10949123.9662
6.250477  6.276269  10905588.1279
6.276269  6.309092  10864139.5744
6.309092  6.335279  10824884.6034
6.335279  6.362174  10787938.2924
6.362174  6.395184  10753425.1790
6.395184  6.425764  10721479.9904
6.425764  6.449800  10692248.4456
6.449800  6.477974  10665888.1527
6.477974  6.511484  10642569.6182
6.511484  6.540518  10622477.3703
6.540518  6.565100  10605811.1760
6.565100  6.598075  10592787.2958
6.598075  6.622844  10583639.6829
6.622844  6.653447  10578620.9954
6.653447  6.684748  10578003.2616
6.684748  6.710004  10582078.0312
6.710004  6.741538  10591155.8693
6.741538  6.770560  10605565.1098
6.770560  6.799432  10625649.8832
6.799432  6.827664  10651767.5518
6.827664  6.858291  10684285.8118
6.858291  6.885826  10723579.8156
6.885826  6.915162  10770029.7065
6.915162  6.944824  10824018.9148
6.944824  6.972975  10885933.4231
6.972975  7.016689  10956161.9839
7.016689  7.041213  11035096.9740
7.041213  7.073711  11123135.2442
7.073711  7.098306  11220677.9907
7.098306  7.132454  11328128.3820
7.132454  7.155433  11445885.4385
7.155433  7.190104  11574332.5326
7.190104  7.214106  11713818.8833
7.214106  7.247126  11864632.6580
7.247126  7.271035  12026964.8513
7.271035  7.305892  12200864.1090
7.305892  7.328220  12386184.1543
7.328220  7.363426  12582527.4370
7.363426  7.386823  12789190.8493
7.386823  7.420484  13005121.4341
7.420484  7.443718  13228891.3956
7.443718  7.479319  13458701.7441
7.479319  7.501054  13692422.0670
7.501054  7.539154  13927670.0025
7.539154  7.560727  14161928.3197
7.560727  7.594108  14392690.9446
7.594108  7.616633  14617623.1533
7.616633  7.638322  14834716.9524
7.638322  7.653339  15042421.6242
7.653339  7.658732  15239732.1139
7.658732  7.667740  15426224.0618
7.667740  7.673795  15602032.6421
7.673795  7.686336  15767781.1638
7.686336  7.689242  15924472.7020
7.689242  7.701656  16073362.3676
7.701656  7.707467  16215828.4808
7.707467  7.717195  16353258.1539
7.717195  7.723635  16486957.6559
7.723635  7.736292  16618091.9040
7.736292  7.739047  16747651.9810
7.739047  7.750588  16876445.7573
7.750588  7.755900  17005104.9386
7.755900  7.764873  17134101.9642
7.764873  7.770987  17263771.5173
7.770987  7.783609  17394333.1476
7.783609  7.786515  17525912.9624
7.786515  7.798952  17658563.1027
7.798952  7.804635  17792277.7880
7.804635  7.814073  17927004.4067
7.814073  7.820210  18062647.9826
7.820210  7.832228  18199067.8522
7.832228  7.834902  18336066.8365
7.834902  7.846280  18473375.4399
7.846280  7.851546  18610636.1034
7.851546  7.860554  18747394.3807
7.860554  7.866714  18883104.1538
7.866714  7.879383  19017152.0731
7.879383  7.882254  19148902.3592
7.882254  7.894516  19277757.8188
7.894516  7.900025  19403227.8928
7.900025  7.908437  19524991.3893
7.908437  7.909033  19642941.4239
7.909033  7.914926  19757203.2496
7.914926  7.919333  19868121.2709
7.919333  7.929094  19976218.0217
7.929094  7.929222  20082133.3985
7.929222  7.930202  20186555.5521
7.930202  7.941044  20290154.9558
7.941044  7.948272  20393530.6541
7.948272  7.948412  20497173.6688
7.948412  7.951859  20601448.3958
7.951859  7.962647  20706589.7630
7.962647  7.968217  20812712.5023
7.968217  7.968996  20919828.9550
7.968996  7.973409  21027872.6608
7.973409  7.984144  21136725.6885
7.984144  7.989673  21246247.6953
7.989673  7.992126  21356304.0281
7.992126  7.994852  21466789.3483
7.994852  8.005535  21577643.0187
8.005535  8.010885  21688853.3780
8.010885  8.011013  21800450.1190
8.011013  8.016191  21912486.7748
8.016191  8.026821  22025017.9696
8.026821  8.030249  22138077.6972
8.030249  8.032330  22251664.7996
8.032330  8.037425  22365739.8617
8.037425  8.048004  22480234.3455
8.048004  8.052810  22595068.9341
8.052810  8.053251  22710175.0179
8.053251  8.058556  22825512.1357
8.058556  8.069084  22941075.4949
8.069084  8.072720  23056891.0445
8.072720  8.072801  23172999.8280
8.072801  8.079586  23289437.0146
8.079586  8.090062  23406212.8914
8.090062  8.092200  23523302.6670
8.092200  8.094652  23640649.4325
8.094652  8.100514  23758180.8273
8.100514  8.110941  23875835.7854
8.110941  8.113238  23993594.1059
8.113238  8.114202  24111499.3827
8.114202  8.121343  24229665.9760
8.121343  8.131720  24348263.9418
8.131720  8.132276  24467482.0295
8.132276  8.132311  24587476.4634
8.132311  8.142072  24708319.4127
8.142072  8.152400  24829963.0724
8.152400  8.152512  24952231.9908
8.152512  8.155603  25074848.8981
8.155603  8.162704  25197490.4120
8.162704  8.172984  25319861.0347
8.172984  8.174247  25441768.2623
8.174247  8.175641  25563179.3701
8.175641  8.183239  25684242.7038
8.183239  8.192239  25805264.1785
8.192239  8.192309  25926642.6902
8.192309  8.193471  26048782.8737
8.193471  8.203679  26172014.1700
8.203679  8.211161  26296545.7532
8.211161  8.213863  26422475.1826
8.213863  8.214695  26549847.2920
8.214695  8.224024  26678735.5414
8.224024  8.233094  26809300.4627
8.233094  8.234161  26941779.9575
8.234161  8.235105  27076391.7673
8.235105  8.244275  27213174.9554
8.244275  8.252179  27351842.4348
8.252179  8.254366  27491729.1261
8.254366  8.264433  27631882.9802
8.264433  8.270625  27771275.0494
8.270625  8.274437  27909043.7614
8.274437  8.274478  28044677.0103
8.274478  8.284501  28178077.3477
8.284501  8.291011  28309516.6181
8.291011  8.293394  28439525.2498
8.293394  8.294500  28568761.6248
8.294500  8.304477  28697884.1342
8.304477  8.309445  28827430.8017
8.309445  8.312223  28957714.6849
