# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_30480.root : dRtdkH1
# GENERATED: 2025-11-17 13:00:24
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.906568
# E_MAX_AVAILABLE 11.403822
# TOTAL_BINS 649
# TOTAL_COUNTS 9076995434.12
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.906568  2.931965  14584827.1917
2.931965  2.964577  15456884.9452
2.964577  2.989997  16278645.2015
2.989997  3.022690  17040418.8615
3.022690  3.048110  17733970.3447
3.048110  3.080722  18352750.1533
3.080722  3.106142  18892052.4401
3.106142  3.138928  19349091.7371
3.138928  3.164290  19722998.1008
3.164290  3.197064  20014734.8782
3.197064  3.222368  20226947.6895
3.222368  3.255236  20363756.7599
3.255236  3.280505  20430507.1746
3.280505  3.313303  20433492.8818
3.313303  3.338548  20379670.3333
3.338548  3.371509  20276376.6372
3.371509  3.396685  20131065.2001
3.396685  3.429727  19951069.3013
3.429727  3.454868  19743401.1442
3.454868  3.487944  19514590.9268
3.487944  3.513062  19270567.6171
3.513062  3.546197  19016580.5839
3.546197  3.571292  18757159.1620
3.571292  3.602730  18496105.6893
3.602730  3.626849  18236516.5619
3.626849  3.661041  17980825.3758
3.661041  3.685032  17730862.1957
3.685032  3.719294  17487923.3254
3.719294  3.743192  17252846.5463
3.743192  3.777384  17026087.5460
3.777384  3.801224  16807794.0953
3.801224  3.835636  16597875.3634
3.835636  3.859453  16396064.5500
3.859453  3.893808  16201973.7086
3.893808  3.917520  16015140.2266
3.917520  3.952165  15835064.9062
3.952165  3.975807  15661241.9577
3.975807  4.010487  15493181.4896
4.010487  4.034048  15330425.2613
4.034048  4.068809  15172556.5843
4.068809  4.092289  15019205.3128
4.092289  4.168957  14870048.8759
4.168957  4.193145  14724810.2821
4.193145  4.227035  14583253.9673
4.227035  4.251131  14445180.2798
4.251131  4.285160  14310419.2951
4.285160  4.309174  14178824.5406
4.309174  4.343331  14050267.0849
4.343331  4.367241  13924630.3247
4.367241  4.400794  13801805.6780
4.400794  4.424158  13681689.2823
4.424158  4.458965  13564179.6997
4.458965  4.482248  13449176.5548
4.482248  4.517613  13336579.9752
4.517613  4.541209  13226290.6715
4.541209  4.575622  13118210.4807
4.575622  4.599090  13012243.2004
4.599090  4.633595  12908295.5580
4.633595  4.656959  12806278.1882
4.656959  4.691616  12706106.5173
4.691616  4.714863  12607701.4900
4.714863  4.748381  12510990.0986
4.748381  4.770664  12415905.7013
4.770664  4.806250  12322388.1378
4.806250  4.828766  12230383.6591
4.828766  4.866188  12139844.7051
4.866188  4.888343  12050729.5607
4.888343  4.923081  11963001.9285
4.923081  4.945329  11876630.4497
4.945329  4.981473  11791588.2057
4.981473  5.004802  11707852.2227
5.004802  5.039156  11625403.0015
5.039156  5.060057  11544224.0833
5.060057  5.098315  11464301.6607
5.098315  5.121017  11385624.2338
5.121017  5.154314  11308182.3092
5.154314  5.176249  11231968.1356
5.176249  5.214368  11156975.4664
5.214368  5.235814  11083199.3411
5.235814  5.271098  11010635.8761
5.271098  5.292684  10939282.0619
5.292684  5.329525  10869135.5624
5.329525  5.352111  10800194.5227
5.352111  5.387150  10732457.3910
5.387150  5.407377  10665922.7697
5.407377  5.445147  10600589.3094
5.445147  5.466420  10536455.6629
5.466420  5.502459  10473520.5149
5.502459  5.523662  10411782.6950
5.523662  5.561432  10351241.3811
5.561432  5.581322  10291896.3843
5.581322  5.614085  10233748.5044
5.614085  5.636182  10176799.9321
5.636182  5.671466  10121054.6714
5.671466  5.693018  10066518.9506
5.693018  5.730404  10013201.5928
5.730404  5.750771  9961114.3232
5.750771  5.787693  9910271.9938
5.787693  5.809488  9860692.7213
5.809488  5.845864  9812397.9391
5.845864  5.866532  9765412.3756
5.866532  5.904058  9719763.9765
5.904058  5.924030  9675483.7926
5.924030  5.961277  9632605.8556
5.961277  5.982631  9591167.0605
5.982631  6.018647  9551207.0739
6.018647  6.039292  9512768.2788
6.039292  6.077480  9475895.7634
6.077480  6.097115  9440637.3602
6.097115  6.136093  9407043.7331
6.136093  6.156146  9375168.5133
6.156146  6.193405  9345068.4787
6.193405  6.212737  9316803.7751
6.212737  6.247789  9290438.1731
6.247789  6.273569  9266039.3594
6.273569  6.306378  9243679.2581
6.306378  6.332554  9223434.3849
6.332554  6.359438  9205386.2336
6.359438  6.392433  9189621.7010
6.392433  6.423000  9176233.5554
6.423000  6.447026  9165320.9526
6.447026  6.475188  9156990.0038
6.475188  6.508682  9151354.3885
6.508682  6.537704  9148535.9990
6.537704  6.562276  9148665.5858
6.562276  6.595237  9151883.3564
6.595237  6.619994  9158339.4619
6.619994  6.650585  9168194.2911
6.650585  6.681872  9181618.4843
6.681872  6.707118  9198792.5872
6.707118  6.738638  9219906.2917
6.738638  6.767648  9245157.2513
6.767648  6.796507  9274749.5261
6.796507  6.824727  9308891.7749
6.824727  6.855340  9347795.3792
6.855340  6.882863  9391672.7188
6.882863  6.912187  9440735.8202
6.912187  6.941836  9495195.5405
6.941836  6.969975  9555261.3429
6.969975  7.013670  9621141.5555
7.013670  7.038184  9693043.8138
7.038184  7.070668  9771175.1876
7.070668  7.095252  9855741.3030
7.095252  7.129386  9946943.6369
7.129386  7.152354  10044974.0814
7.152354  7.187011  10150005.8972
7.187011  7.211002  10262180.3055
7.211002  7.244009  10381588.2486
7.244009  7.267907  10508247.3071
7.267907  7.302749  10642074.4208
7.302749  7.325068  10782855.9188
7.325068  7.360259  10930217.3583
7.360259  7.383646  11083596.6825
7.383646  7.417291  11242225.0196
7.417291  7.440516  11405119.8086
7.440516  7.476102  11571094.5857
7.476102  7.497827  11738788.5161
7.497827  7.535911  11906716.5936
7.535911  7.557474  12073338.5539
7.557474  7.590841  12237141.4031
7.590841  7.613357  12396727.6665
7.613357  7.635036  12550899.6582
