# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_30327.root : dRtdkH1
# GENERATED: 2025-11-17 12:59:11
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.903316
# E_MAX_AVAILABLE 11.391062
# TOTAL_BINS 649
# TOTAL_COUNTS 15478854381.02
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.903316  2.928684  24842288.9358
2.928684  2.961259  26328548.0856
2.961259  2.986651  27729019.0651
2.986651  3.019308  29027170.3614
3.019308  3.044699  30208953.2877
3.044699  3.077275  31263199.1401
3.077275  3.102666  32181888.0732
3.102666  3.135416  32960279.7221
3.135416  3.160749  33596904.3299
3.160749  3.193487  34093421.6089
3.193487  3.218763  34454362.0841
3.218763  3.251593  34686771.7078
3.251593  3.276834  34799784.7056
3.276834  3.309595  34804151.7417
3.309595  3.334813  34711750.5850
3.334813  3.367736  34535104.7044
3.367736  3.392884  34286931.9629
3.392884  3.425889  33979741.2292
3.425889  3.451002  33625489.7593
3.451002  3.484041  33235309.0617
3.484041  3.509132  32819302.0717
3.509132  3.542229  32386410.1299
3.542229  3.567296  31944344.7241
3.567296  3.598699  31499576.3312
3.598699  3.622791  31057371.0074
3.622791  3.656944  30621864.5760
3.656944  3.680909  30196164.2225
3.680909  3.715132  29782467.8884
3.715132  3.739003  29382192.8754
3.739003  3.773157  28996106.3699
3.773157  3.796970  28624452.0266
3.796970  3.831344  28267068.1786
3.831344  3.855135  27923494.5816
3.855135  3.889451  27593065.7917
3.889451  3.913136  27274990.2819
3.913136  3.947742  26968415.2157
3.947742  3.971359  26672477.4220
3.971359  4.006000  26386341.5746
4.006000  4.029535  26109226.8936
4.029535  4.064257  25840423.8793
4.064257  4.087710  25579302.6883
4.087710  4.164292  25325314.7783
4.164292  4.188453  25077989.4065
4.188453  4.222305  24836926.4685
4.222305  4.246374  24601787.0310
4.246374  4.280365  24372282.7379
4.280365  4.304353  24148165.0761
4.304353  4.338471  23929215.2792
4.338471  4.362354  23715235.4307
4.362354  4.395870  23506041.1226
4.395870  4.419207  23301455.8359
4.419207  4.453976  23101307.0431
4.453976  4.477232  22905423.9042
4.477232  4.512558  22713636.3331
4.512558  4.536128  22525775.1543
4.536128  4.570502  22341673.0472
4.570502  4.593944  22161165.9836
4.593944  4.628411  21984094.8944
4.628411  4.651748  21810307.3437
4.651748  4.686366  21639659.0442
4.686366  4.709588  21472015.0995
4.709588  4.743068  21307250.9076
4.743068  4.765326  21145252.7044
4.765326  4.800872  20985917.7578
4.800872  4.823363  20829154.2479
4.823363  4.860743  20674880.8837
4.860743  4.882873  20523026.3159
4.882873  4.917572  20373528.4049
4.917572  4.939796  20226333.4036
4.939796  4.975899  20081395.1047
4.975899  4.999202  19938673.9959
4.999202  5.033518  19798136.4573
5.033518  5.054395  19659754.0208
5.054395  5.092611  19523502.7066
5.092611  5.115287  19389362.4366
5.115287  5.148547  19257316.5223
5.148547  5.170457  19127351.2130
5.170457  5.208533  18999455.2911
5.208533  5.229956  18873619.6983
5.229956  5.265200  18749837.1788
5.265200  5.286762  18628101.9300
5.286762  5.323562  18508409.2597
5.323562  5.346122  18390755.2533
5.346122  5.381122  18275136.4683
5.381122  5.401327  18161549.6749
5.401327  5.439055  18049991.6717
5.439055  5.460303  17940459.2034
5.460303  5.496302  17832949.0069
5.496302  5.517481  17727458.0019
5.517481  5.555209  17623983.6344
5.555209  5.575077  17522524.3620
5.575077  5.607803  17423080.2588
5.607803  5.629876  17325653.7016
5.629876  5.665120  17230250.0897
5.665120  5.686647  17136878.5459
5.686647  5.723992  17045552.5484
5.723992  5.744336  16956290.4522
5.744336  5.781216  16869115.8712
5.781216  5.802987  16784057.9090
5.802987  5.839323  16701151.2429
5.839323  5.859968  16620436.0814
5.859968  5.897452  16541958.0252
5.897452  5.917401  16465767.8690
5.917401  5.954607  16391921.3811
5.954607  5.975937  16320479.0970
5.975937  6.011912  16251506.1540
6.011912  6.032534  16185072.1896
6.032534  6.070680  16121251.3160
6.070680  6.090292  16060122.1784
6.090292  6.129227  16001768.0974
6.129227  6.149257  15946277.2931
6.149257  6.186475  15893743.1850
6.186475  6.205785  15844264.7610
6.205785  6.240798  15797947.0077
6.240798  6.266549  15754901.3963
6.266549  6.299322  15715246.4205
6.299322  6.325468  15679108.1849
6.325468  6.352322  15646621.0478
6.352322  6.385280  15617928.3257
6.385280  6.415813  15593183.0683
6.415813  6.439812  15572548.9139
6.439812  6.467942  15556201.0300
6.467942  6.501400  15544327.1321
6.501400  6.530389  15537128.5575
6.530389  6.554933  15534821.3469
6.554933  6.587857  15537637.2558
6.587857  6.612587  15545824.5887
6.612587  6.643143  15559648.7243
6.643143  6.674395  15579392.1887
6.674395  6.699613  15605354.1436
