# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_41425.root : dRtdkH1
# GENERATED: 2025-11-17 12:51:15
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.907719
# E_MAX_AVAILABLE 11.408337
# TOTAL_BINS 649
# TOTAL_COUNTS 13650029624.18
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.907719  2.933126  22001723.0512
2.933126  2.965750  23316924.8594
2.965750  2.991181  24556294.0189
2.991181  3.023887  25705224.5331
3.023887  3.049317  26751300.5034
3.049317  3.081942  27684646.5812
3.081942  3.107372  28498165.4831
3.107372  3.140171  29187653.7611
3.140171  3.165543  29751794.6988
3.165543  3.198330  30192034.6463
3.198330  3.223644  30512355.7275
3.223644  3.256525  30718963.1737
3.256525  3.281804  30819909.2196
3.281804  3.314614  30824677.3864
3.314614  3.339870  30743751.0788
3.339870  3.372844  30588188.8995
3.372844  3.398030  30369226.2351
3.398030  3.431085  30097918.8554
3.431085  3.456236  29784839.9031
3.456236  3.489325  29439837.1404
3.489325  3.514453  29071853.0054
3.514453  3.547601  28688806.2229
3.547601  3.572706  28297530.5827
3.572706  3.604157  27903764.1806
3.604157  3.628285  27512180.9138
3.628285  3.662490  27126455.3025
3.662490  3.686491  26749351.6625
3.686491  3.720766  26382829.1510
3.720766  3.744674  26028155.0982
3.744674  3.778879  25686020.1753
3.778879  3.802729  25356650.2017
3.802729  3.837155  25039910.6550
3.837155  3.860981  24735401.1279
3.860981  3.895349  24442538.0298
3.895349  3.919071  24160624.7222
3.919071  3.953730  23888908.9961
3.953730  3.977382  23626628.3593
3.977382  4.012075  23373044.0082
4.012075  4.035646  23127464.6399
4.035646  4.070420  22889261.4355
4.070420  4.093910  22657875.6332
4.093910  4.170607  22432820.1277
4.170607  4.194806  22213676.4963
4.194806  4.228709  22000088.7678
4.228709  4.252814  21791755.1291
4.252814  4.286857  21588418.6160
4.286857  4.310880  21389857.6611
4.310880  4.345051  21195877.1885
4.345051  4.368970  21006300.7540
4.368970  4.402536  20820964.0492
4.402536  4.425909  20639709.9180
4.425909  4.460731  20462384.8891
4.460731  4.484022  20288837.1143
4.484022  4.519402  20118915.5158
4.519402  4.543007  19952469.8984
4.543007  4.577433  19789351.7612
4.577433  4.600911  19629415.5477
4.600911  4.635430  19472520.1022
4.635430  4.658803  19318530.1385
4.658803  4.693473  19167317.5697
4.693473  4.716730  19018762.6018
4.716730  4.750261  18872754.5293
4.750261  4.772553  18729192.2145
4.772553  4.808153  18587984.2599
4.808153  4.830678  18449048.9030
4.830678  4.868114  18312313.6789
4.868114  4.890279  18177714.9019
4.890279  4.925030  18045197.0198
4.925030  4.947288  17914711.8917
4.947288  4.983445  17786218.0334
4.983445  5.006784  17659679.8712
5.006784  5.041152  17535067.0297
5.041152  5.062061  17412353.6766
5.062061  5.100334  17291517.9333
5.100334  5.123044  17172541.3541
5.123044  5.156355  17055408.4704
5.156355  5.178298  16940106.3882
5.178298  5.216432  16826624.4267
5.216432  5.237887  16714953.7843
5.237887  5.273185  16605087.2192
5.273185  5.294780  16497018.7369
5.294780  5.331635  16390743.2829
5.331635  5.354230  16286256.4450
5.354230  5.389283  16183554.1787
5.389283  5.409518  16082632.5752
5.409518  5.447303  15983487.6942
5.447303  5.468584  15886115.4883
5.468584  5.504638  15790511.8403
5.504638  5.525849  15696672.7295
5.525849  5.563634  15604594.5320
5.563634  5.583532  15514274.4474
5.583532  5.616308  15425711.0309
5.616308  5.638414  15338904.7977
5.638414  5.673712  15253858.8568
5.673712  5.695272  15170579.5278
5.695272  5.732673  15089076.8976
5.732673  5.753048  15009365.2783
5.753048  5.789984  14931463.5420
5.789984  5.811788  14855395.3213
5.811788  5.848179  14781189.0800
5.848179  5.868855  14708878.0702
5.868855  5.906396  14638500.2046
5.906396  5.926375  14570097.8743
5.926375  5.963637  14503717.7471
5.963637  5.985000  14439410.5765
5.985000  6.021030  14377231.0471
6.021030  6.041683  14317237.6749
6.041683  6.079887  14259492.7757
6.079887  6.099529  14204062.5063
6.099529  6.138523  14151016.9815
6.138523  6.158583  14100430.4614
6.158583  6.195857  14052381.6072
6.195857  6.215197  14006953.7966
6.215197  6.250262  13964235.4919
6.250262  6.276053  13924320.6574
6.276053  6.308875  13887309.2175
6.308875  6.335061  13853307.5596
6.335061  6.361956  13822429.0788
6.361956  6.394964  13794794.7754
6.394964  6.425543  13770533.9092
6.425543  6.449578  13749784.7226
6.449578  6.477752  13732695.2350
6.477752  6.511259  13719424.1049
6.511259  6.540293  13710141.5430
6.540293  6.564875  13705030.2338
6.564875  6.597848  13704286.2059
6.597848  6.622616  13708119.5598
6.622616  6.653218  13716754.9445
6.653218  6.684518  13730431.6635
6.684518  6.709773  13749403.3007
6.709773  6.741306  13773936.7896
6.741306  6.770327  13804310.9097
6.770327  6.799198  13840814.2758
6.799198  6.827429  13883742.9798
6.827429  6.858055  13933398.1254
6.858055  6.885589  13990083.5526
6.885589  6.914924  14054104.0428
6.914924  6.944585  14125764.2247
6.944585  6.972735  14205368.2506
6.972735  7.016447  14293220.0947
7.016447  7.040971  14389624.0624
7.040971  7.073468  14494884.8212
7.073468  7.098061  14609306.0079
7.098061  7.132208  14733186.2649
7.132208  7.155186  14866811.4502
7.155186  7.189857  15010441.7788
7.189857  7.213857  15164292.8271
7.213857  7.246877  15328509.7190
7.246877  7.270785  15503134.4463
7.270785  7.305641  15688067.2077
7.305641  7.327968  15883023.8598
7.327968  7.363173  16087492.9916
7.363173  7.386569  16300697.5660
7.386569  7.420228  16521567.2432
7.420228  7.443462  16748728.0263
7.443462  7.479062  16980515.3943
7.479062  7.500796  17215015.3388
7.500796  7.538895  17450134.6753
7.538895  7.560466  17683697.9417
7.560466  7.593847  17913563.7469
7.593847  7.616371  18137749.4613
7.616371  7.638059  18354550.5729
7.638059  7.653075  18562640.5962
7.653075  7.658468  18761139.4443
7.658468  7.667476  18949642.4088
7.667476  7.673531  19128207.5630
7.673531  7.686072  19297305.3725
7.686072  7.688978  19457739.3565
7.688978  7.701390  19610549.8205
7.701390  7.707202  19756913.4985
7.707202  7.716930  19898050.5041
7.716930  7.723369  20035146.8742
7.723369  7.736026  20169297.1131
7.736026  7.738780  20301467.4102
7.738780  7.750322  20432477.3259
7.750322  7.755633  20562996.0784
7.755633  7.764606  20693549.0766
7.764606  7.770719  20824530.7343
7.770719  7.783341  20956220.4062
7.783341  7.786247  21088799.0995
7.786247  7.798683  21222365.1752
7.798683  7.804367  21356947.5224
7.804367  7.813804  21492514.8283
7.813804  7.819941  21628979.8452
7.819941  7.831959  21766198.2281
7.831959  7.834632  21903962.6974
7.834632  7.846010  22041994.8272
7.846010  7.851276  22179938.2960
7.851276  7.860283  22317358.3908
7.860283  7.866443  22453752.3933
7.866443  7.879112  22588573.8800
7.879112  7.881982  22721271.0742
7.881982  7.894244  22851335.7978
7.894244  7.899753  22978356.2588
7.899753  7.908165  23102064.8989
7.908165  7.908761  23222372.5383
7.908761  7.914654  23339382.2344
7.914654  7.919061  23453380.0928
7.919061  7.928821  23564804.7134
7.928821  7.928949  23674200.8427
7.928949  7.929929  23782165.1808
7.929929  7.940771  23889292.7116
7.940771  7.947999  23996130.5592
7.947999  7.948138  24103143.8594
7.948138  7.951586  24210695.3504
7.951586  7.962373  24319038.0925
7.962373  7.967943  24428319.3545
7.967943  7.968722  24538593.2298
7.968722  7.973135  24649839.6124
7.973135  7.983869  24761987.2998
7.983869  7.989398  24874938.8786
7.989398  7.991851  24988594.6835
7.991851  7.994577  25102872.8049
7.994577  8.005259  25217722.2604
8.005259  8.010610  25333127.3430
8.010610  8.010738  25449102.7987
8.010738  8.015915  25565681.5177
8.015915  8.026545  25682898.2806
8.026545  8.029973  25800774.1618
8.029973  8.032053  25919306.0416
8.032053  8.037149  26038464.2192
8.037149  8.047727  26158198.6772
8.047727  8.052532  26278451.8353
8.052532  8.052974  26399173.5103
8.052974  8.058279  26520333.0414
8.058279  8.068806  26641924.4638
8.068806  8.072442  26763962.9730
8.072442  8.072523  26886473.9196
8.072523  8.079308  27009478.2103
8.079308  8.089784  27132979.3803
8.089784  8.091921  27256957.3198
8.091921  8.094374  27381371.7816
8.094374  8.100235  27506175.8860
8.100235  8.110662  27631336.5976
8.110662  8.112958  27756856.3773
8.112958  8.113923  27882788.6848
8.113923  8.121063  28009240.4415
8.121063  8.131440  28136357.3523
8.131440  8.131996  28264292.8527
8.131996  8.132031  28393167.1154
8.132031  8.141792  28523027.0299
8.141792  8.152120  28653819.4419
8.152120  8.152231  28785387.4146
8.152231  8.155323  28917493.5860
8.155323  8.162423  29049867.5962
8.162423  8.172702  29182267.9394
8.172702  8.173965  29314543.9024
8.173965  8.175360  29446681.6268
8.175360  8.182958  29578820.7499
8.182958  8.191957  29711235.0181
8.191957  8.192027  29844280.8060
8.192027  8.193189  29978328.6685
8.193189  8.203396  30113700.4268
8.203396  8.210879  30250633.7795
8.210879  8.213580  30389286.6229
8.213580  8.214412  30529776.5298
8.214412  8.223741  30672232.8901
8.223741  8.232811  30816827.8071
8.232811  8.233877  30963754.7594
8.233877  8.234821  31113145.2023
8.234821  8.243991  31264947.3693
8.243991  8.251895  31418821.9125
8.251895  8.254082  31574114.8938
8.254082  8.264149  31729940.0739
8.264149  8.270340  31885351.7218
8.270340  8.274152  32039545.8123
8.274152  8.274194  32192017.7001
8.274194  8.284216  32342631.1813
8.284216  8.290726  32491595.9416
8.290726  8.293109  32639380.5205
8.293109  8.294215  32786593.8941
8.294215  8.304192  32933858.7013
8.304192  8.309159  33081689.9136
8.309159  8.311937  33230394.3166
8.311937  8.314146  33380014.0578
8.314146  8.324078  33530337.3101
8.324078  8.331405  33680980.3446
8.331405  8.333265  33831514.8414
8.333265  8.333988  33981594.3601
8.333988  8.343877  34131041.5017
8.343877  8.349594  34279884.6088
8.349594  8.352337  34428354.1146
8.352337  8.353743  34576847.8316
8.353743  8.363588  34725861.8109
8.363588  8.366866  34875882.5468
8.366866  8.369829  35027258.1187
8.369829  8.373411  35180095.3578
8.373411  8.383212  35334236.7049
8.383212  8.388089  35489336.0027
8.388089  8.389995  35644995.8235
8.389995  8.392993  35800896.3042
8.392993  8.402752  35956864.9263
8.402752  8.406231  36112885.6925
8.406231  8.409625  36269076.8304
8.409625  8.412490  36425657.8677
8.412490  8.422207  36582900.4502
8.422207  8.424560  36741045.0086
8.424560  8.428035  36900184.9369
8.428035  8.431904  37060164.3455
8.431904  8.441580  37220566.5948
8.441580  8.445620  37380840.2140
8.445620  8.447515  37540518.7006
8.447515  8.451235  37699417.8817
8.451235  8.460870  37857712.0610
8.460870  8.461985  38015878.9101
8.461985  8.465669  38174578.9030
8.465669  8.470484  38334542.6910
8.470484  8.479500  38496484.4793
8.479500  8.480079  38660989.9964
8.480079  8.483696  38828326.6256
8.483696  8.489653  38998237.2240
8.489653  8.499208  39169900.2651
8.499208  8.502420  39342173.1474
8.502420  8.504163  39513989.7541
8.504163  8.508743  39684639.7411
8.508743  8.518258  39853803.6066
8.518258  8.520935  40021459.8352
8.520935  8.522701  40187827.3896
8.522701  8.527754  40353377.7293
8.527754  8.537230  40518847.0918
8.537230  8.537532  40685150.2726
8.537532  8.539601  40853121.8237
8.539601  8.546688  41023167.8822
8.546688  8.556126  41195111.3274
8.556126  8.556977  41368409.0622
8.556977  8.558627  41542516.2497
8.558627  8.565545  41717040.8494
8.565545  8.574945  41891703.3345
8.574945  8.575410  42066369.4753
8.575410  8.577293  42241150.0962
8.577293  8.584327  42416344.2232
8.584327  8.593146  42592285.0594
8.593146  8.593690  42769312.0790
8.593690  8.595354  42947724.5133
8.595354  8.603035  43127470.5426
8.603035  8.612361  43307920.0738
8.612361  8.612684  43488249.9244
8.612684  8.614299  43668130.9208
8.614299  8.621669  43847940.8880
8.621669  8.629932  44028542.4891
8.629932  8.630959  44211217.5467
8.630959  8.631559  44397550.0257
8.631559  8.640231  44588682.4125
8.640231  8.649486  44784643.8465
8.649486  8.650748  44984976.6066
