# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_101615.root : dRtdkH1
# GENERATED: 2025-11-17 12:57:23
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.880798
# E_MAX_AVAILABLE 11.346467
# TOTAL_BINS 649
# TOTAL_COUNTS 1278335408.47
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.880798  2.905972  3499823.8395
2.905972  2.938298  3718533.1322
2.938298  2.963483  3923931.6961
2.963483  2.995889  4113406.8515
2.995889  3.021086  4284765.1542
3.021086  3.053412  4436298.3415
3.053412  3.078609  4566826.2136
3.078609  3.111096  4675714.8271
3.111096  3.136235  4762870.0196
3.136235  3.168722  4828707.8584
3.168722  3.193804  4874104.9810
3.193804  3.226372  4900332.8629
3.226372  3.251419  4908980.7485
3.251419  3.283929  4901872.2792
3.283929  3.308952  4880980.7638
3.308952  3.341624  4848347.6006
3.341624  3.366567  4806007.6600
3.366567  3.399320  4755924.5450
3.399320  3.424240  4699937.6752
3.424240  3.457027  4639722.1629
3.457027  3.481912  4576761.5522
3.481912  3.514758  4512332.7314
3.514758  3.539631  4447501.7357
3.539631  3.570790  4383128.7586
3.570790  3.594693  4319880.4715
3.594693  3.628589  4258247.6979
3.628589  3.652365  4198566.5786
3.652365  3.686320  4141041.5483
3.686320  3.710003  4085768.7009
3.710003  3.743900  4032758.4077
3.743900  3.767526  3981956.3441
3.767526  3.801630  3933262.3562
3.801630  3.825233  3886546.8369
3.825233  3.859291  3841664.4858
3.859291  3.882790  3798465.4816
3.882790  3.917126  3756804.2097
3.917126  3.940555  3716545.7653
3.940555  3.974937  3677570.4976
3.974937  3.998285  3639776.8772
3.998285  4.032736  3603082.9716
4.032736  4.056004  3567426.7957
4.056004  4.132000  3532765.7822
4.132000  4.155972  3499075.5833
4.155972  4.189557  3466348.3811
4.189557  4.213437  3434590.8481
4.213437  4.247172  3403821.8617
4.247172  4.270971  3374070.0495
4.270971  4.304821  3345371.2151
4.304821  4.328528  3317765.6773
4.328528  4.361777  3291295.5517
4.361777  4.384941  3266002.0059
4.384941  4.419438  3241922.5322
4.419438  4.442510  3219088.3021
4.442510  4.477562  3197521.6871
4.477562  4.500945  3177234.0490
4.500945  4.535061  3158223.9192
4.535061  4.558317  3140475.6800
4.558317  4.577893  3123958.8553
4.577893  4.577903  3108628.0840
4.577903  4.577913  3094423.8124
4.577913  4.577924  3081273.6897
4.577924  4.577934  3069094.5970
4.577934  4.577944  3057795.1902
4.577944  4.579057  3047278.7955
4.579057  4.592514  3037446.4686
4.592514  4.593203  3028200.0202
4.593203  4.607354  3019444.8213
4.607354  4.615678  3011092.2261
4.615678  4.621501  3003061.4951
4.621501  4.635654  2995281.1457
4.635654  4.649792  2987689.7120
4.649792  4.650025  2980235.9418
4.650025  4.663936  2972878.4979
4.663936  4.673061  2965585.2612
4.673061  4.678076  2958332.3450
4.678076  4.692221  2951102.9356
4.692221  4.706288  2943886.0639
4.706288  4.706351  2936675.3991
4.706351  4.720487  2929468.1310
4.720487  4.728366  2922263.9890
4.728366  4.734619  2915064.4201
4.734619  4.748755  2907871.9323
4.748755  4.762877  2900689.5940
4.762877  4.763637  2893520.6716
4.763637  4.777004  2886368.3803
4.777004  4.785957  2879235.7245
4.785957  4.791126  2872125.4046
4.791126  4.805243  2865039.7698
4.805243  4.819365  2857980.8028
4.819365  4.823042  2850950.1250
4.823042  4.833471  2843949.0160
4.833471  4.845005  2836978.4420
4.845005  4.847583  2830039.0917
4.847583  4.861689  2823131.4158
4.861689  4.875800  2816255.6700
4.875800  4.879433  2809411.9561
4.879433  4.889896  2802600.2613
4.889896  4.901487  2795820.4897
4.901487  4.903996  2789072.4877
4.903996  4.918091  2782356.0585
4.918091  4.932180  2775670.9708
4.932180  4.937313  2769016.9603
4.937313  4.946274  2762393.7304
4.946274  4.960352  2755800.9546
4.960352  4.960431  2749238.2834
4.960431  4.974434  2742705.3588
4.974434  4.988510  2736201.8340
4.988510  4.994477  2729727.3967
4.994477  5.002591  2723281.7917
5.002591  5.015192  2716864.8361
5.015192  5.016656  2710476.4240
5.016656  5.030724  2704116.5172
5.030724  5.044787  2697785.1220
5.044787  5.053120  2691482.2567
5.053120  5.058844  2685207.9140
5.058844  5.072894  2678962.0281
5.072894  5.075614  2672744.4520
5.075614  5.086948  2666554.9516
5.086948  5.100985  2660393.2184
5.100985  5.108621  2654258.8974
5.108621  5.115027  2648151.6255
5.115027  5.129073  2642071.0718
5.129073  5.130364  2636016.9706
5.130364  5.143101  2629989.1403
5.143101  5.157133  2623987.4840
5.157133  5.168142  2618011.9737
5.168142  5.171148  2612062.6208
5.171148  5.185167  2606139.4429
5.185167  5.189400  2600242.4336
5.189400  5.199190  2594371.5443
5.199190  5.213195  2588526.6825
5.213195  5.224371  2582707.7256
