# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_101582.root : dRtdkH1
# GENERATED: 2025-11-17 12:56:36
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.880549
# E_MAX_AVAILABLE 11.345485
# TOTAL_BINS 649
# TOTAL_COUNTS 3502408574.93
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.880549  2.905721  2273669.7476
2.905721  2.938043  2415046.7018
2.938043  2.963227  2548764.6006
2.963227  2.995630  2673274.7429
2.995630  3.020825  2787274.1813
3.020825  3.053147  2889744.8461
3.053147  3.078342  2979979.6796
3.078342  3.110827  3057594.8085
3.110827  3.135964  3122527.6870
3.135964  3.168448  3175022.0177
3.168448  3.193527  3215601.0305
3.193527  3.226092  3245031.3108
3.226092  3.251137  3264279.7781
3.251137  3.283644  3274466.6158
3.283644  3.308666  3276816.9307
3.308666  3.341335  3272613.7137
3.341335  3.366276  3263154.3086
3.366276  3.399026  3249712.1234
3.399026  3.423943  3233504.7874
3.423943  3.456728  3215669.4150
3.456728  3.481611  3197245.1295
3.481611  3.514453  3179162.5534
3.514453  3.539325  3162239.6170
3.539325  3.570481  3147182.7762
3.570481  3.594382  3134592.5767
3.594382  3.628275  3124972.4335
3.628275  3.652049  3118739.5121
3.652049  3.686001  3116236.6781
3.686001  3.709682  3117744.6046
3.709682  3.743576  3123493.2812
3.743576  3.767200  3133672.3302
3.767200  3.801301  3148439.7024
3.801301  3.824902  3167928.4719
3.824902  3.858957  3192251.5875
3.858957  3.882454  3221504.5496
3.882454  3.916786  3255766.0767
3.916786  3.940214  3295096.8971
3.940214  3.974593  3339536.8672
3.974593  3.997939  3389100.6653
3.997939  4.032387  3443772.3631
4.032387  4.055653  3503499.2251
4.055653  4.131642  3568185.1428
4.131642  4.155613  3637684.1659
4.155613  4.189194  3711794.6517
4.189194  4.213072  3790254.5983
4.213072  4.246804  3872738.7542
4.246804  4.270601  3958858.0878
4.270601  4.304448  4048162.1434
4.304448  4.328153  4140144.6951
4.328153  4.361400  4234252.9342
4.361400  4.384562  4329900.1843
4.384562  4.419056  4426481.8616
4.419056  4.442125  4523394.0861
4.442125  4.477174  4620054.0550
4.477174  4.500555  4715921.0368
4.500555  4.534668  4810516.6672
4.534668  4.557922  4903443.1694
4.557922  4.577497  4994398.1855
4.577497  4.577507  5083185.1040
4.577507  4.577517  5169718.0908
4.577517  4.577527  5254021.4403
4.577527  4.577538  5336223.3219
4.577538  4.577548  5416544.4532
4.577548  4.578661  5495282.6312
4.578661  4.592116  5572794.3595
4.592116  4.592805  5649474.9798
4.592805  4.606955  5725738.7490
4.606955  4.615278  5802000.1916
4.615278  4.621101  5878657.8325
4.621101  4.635252  5956081.1013
4.635252  4.649389  6034600.8500
4.649389  4.649622  6114503.5720
4.649622  4.663532  6196029.0997
4.663532  4.672657  6279371.3122
4.672657  4.677671  6364681.2225
4.677671  4.691815  6452071.7426
4.691815  4.705880  6541623.4292
4.705880  4.705944  6633390.5860
4.705944  4.720079  6727407.2159
4.720079  4.727956  6823692.4546
4.727956  4.734209  6922255.2611
4.734209  4.748344  7023098.2669
4.748344  4.762465  7126220.7919
4.762465  4.763225  7231621.1051
4.763225  4.776590  7339298.0512
4.776590  4.785543  7449252.1766
4.785543  4.790711  7561486.4773
4.790711  4.804827  7676006.8713
4.804827  4.818948  7792822.4650
4.818948  4.822625  7911945.6591
4.822625  4.833053  8033392.1158
4.833053  4.844585  8157180.6014
4.844585  4.847163  8283332.7177
4.847163  4.861268  8411872.5427
4.861268  4.875378  8542826.2171
4.875378  4.879010  8676221.5192
4.879010  4.889473  8812087.4798
4.889473  4.901063  8950454.0794
4.901063  4.903572  9091352.0554
4.903572  4.917665  9234812.8204
4.917665  4.931753  9380868.4633
4.931753  4.936886  9529551.7805
4.936886  4.945846  9680896.2665
4.945846  4.959922  9834936.0007
4.959922  4.960001  9991705.3812
4.960001  4.974003  10151238.7024
4.974003  4.988078  10313569.6139
4.988078  4.994045  10478730.5491
4.994045  5.002158  10646752.2377
5.002158  5.014758  10817663.4277
5.014758  5.016221  10991490.9102
5.016221  5.030289  11168259.8911
5.030289  5.044350  11347994.6758
5.044350  5.052683  11530719.5553
5.052683  5.058406  11716459.7244
5.058406  5.072455  11905242.0329
5.072455  5.075175  12097095.3912
5.075175  5.086508  12292050.7155
5.086508  5.100544  12490140.3954
5.100544  5.108179  12691397.3744
5.108179  5.114584  12895854.0293
5.114584  5.128629  13103541.0884
5.128629  5.129920  13314486.8258
5.129920  5.142656  13528716.7098
5.142656  5.156687  13746253.5755
5.156687  5.167695  13967118.2627
5.167695  5.170701  14191330.5428
5.170701  5.184719  14418910.0781
5.184719  5.188950  14649877.1416
5.188950  5.198740  14884252.8786
5.198740  5.212744  15122059.0029
5.212744  5.223918  15363316.9702
5.223918  5.226752  15608046.8175
5.226752  5.240742  15856265.9726
5.240742  5.245313  16107988.3779
5.245313  5.254735  16363224.2376
5.254735  5.268732  16621980.5750
5.268732  5.281817  16884262.6059
5.281817  5.282712  17150075.7328
5.282712  5.296694  17419427.7892
5.296694  5.304205  17692331.0602
5.304205  5.310669  17968803.6058
5.310669  5.324637  18248869.5318
5.324637  5.338598  18532558.0658
5.338598  5.338930  18819901.5532
5.338930  5.352551  19110932.7319
5.352551  5.358973  19405681.7983
5.358973  5.366507  19704173.7986
5.366507  5.380455  20006426.7622
5.380455  5.394396  20312450.7606
5.394396  5.396401  20622247.8008
5.396401  5.408329  20935812.2279
5.408329  5.417484  21253131.1886
5.417484  5.422265  21574184.7512
5.422265  5.436194  21898945.4821
5.436194  5.450114  22227377.6083
5.450114  5.453202  22559436.2490
5.453202  5.464026  22895067.4683
5.464026  5.474216  23234209.9637
5.474216  5.477930  23576798.9903
5.477930  5.491837  23922772.6352
