# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_51056.root : dRtdkH1
# GENERATED: 2025-11-17 12:55:06
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.911326
# E_MAX_AVAILABLE 11.422492
# TOTAL_BINS 649
# TOTAL_COUNTS 13382756858.11
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.911326  2.936765  21904692.2063
2.936765  2.969430  23252973.0201
2.969430  2.994892  24520795.0125
2.994892  3.027638  25692455.9248
3.027638  3.053100  26754713.7082
3.053100  3.085765  27697176.1386
3.085765  3.111227  28512558.0369
3.111227  3.144067  29196796.4118
3.144067  3.169470  29749023.1297
3.169470  3.202298  30171403.6451
3.202298  3.227644  30468858.1682
3.227644  3.260565  30648687.8304
3.260565  3.285876  30720132.5292
3.285876  3.318727  30693889.0310
3.318727  3.344014  30581617.6184
3.344014  3.377028  30395463.3273
3.377028  3.402246  30147614.0254
3.402246  3.435341  29849912.7014
3.435341  3.460524  29513535.9044
3.460524  3.493655  29148744.7716
3.493655  3.518814  28764709.9607
3.518814  3.552003  28369407.3819
3.552003  3.577138  27969578.1312
3.577138  3.608628  27570743.5659
3.608628  3.632787  27177265.0265
3.632787  3.667034  26792437.2186
3.667034  3.691065  26418604.5613
3.691065  3.725382  26057290.7176
3.725382  3.749320  25709332.8334
3.749320  3.783568  25375013.5551
3.783568  3.807447  25054185.5019
3.807447  3.841916  24746384.4129
3.841916  3.865771  24450928.5817
3.865771  3.900182  24167003.3789
3.900182  3.923933  23893730.6209
3.923933  3.958635  23630223.2791
3.958635  3.982316  23375626.5502
3.982316  4.017053  23129146.6638
4.017053  4.040653  22890069.0113
4.040653  4.075471  22657767.2812
4.075471  4.098989  22431705.3014
4.098989  4.175782  22211433.2395
4.175782  4.200010  21996579.7199
4.200010  4.233955  21786841.2795
4.233955  4.258090  21581970.4275
4.258090  4.292175  21381763.3814
4.292175  4.316229  21186048.3543
4.316229  4.350442  20994675.0531
4.350442  4.374391  20807505.8346
4.374391  4.407998  20624408.7660
4.407998  4.431400  20445252.6506
4.431400  4.466265  20269903.9269
4.466265  4.489586  20098225.2320
4.489586  4.525009  19930075.3357
4.525009  4.548643  19765310.1143
4.548643  4.583112  19603784.2225
4.583112  4.606619  19445353.1470
4.606619  4.641181  19289875.3654
4.641181  4.664583  19137214.3932
4.664583  4.699296  18987240.5600
4.699296  4.722582  18839832.4179
4.722582  4.756155  18694877.7360
4.756155  4.778475  18552274.0784
4.778475  4.814119  18411928.9964
4.814119  4.836671  18273759.8874
4.836671  4.874154  18137693.5831
4.874154  4.896346  18003665.7368
4.896346  4.931141  17871620.0782
4.931141  4.953426  17741507.5949
4.953426  4.989628  17613285.6970
4.989628  5.012995  17486917.4044
5.012995  5.047406  17362370.5911
5.047406  5.068341  17239617.3050
5.068341  5.106662  17118633.1729
5.106662  5.129401  16999396.8904
5.129401  5.162752  16881889.7867
5.162752  5.184723  16766095.4501
5.184723  5.222904  16651999.3949
5.222904  5.244386  16539588.7503
5.244386  5.279728  16428851.9542
5.279728  5.301349  16319778.4405
5.301349  5.338250  16212358.3160
5.338250  5.360873  16106582.0311
5.360873  5.395970  16002440.0623
5.395970  5.416230  15899922.6277
5.416230  5.454062  15799019.4687
5.454062  5.475369  15699719.7295
5.475369  5.511467  15602011.9657
5.511467  5.532705  15505884.3048
5.532705  5.570537  15411324.7671
5.570537  5.590459  15318321.7417
5.590459  5.623276  15226864.5933
5.623276  5.645409  15136944.3581
5.645409  5.680751  15048554.4800
5.680751  5.702338  14961691.5263
5.702338  5.739786  14876355.8299
5.739786  5.760185  14792552.0120
5.760185  5.797168  14710289.3522
5.797168  5.818999  14629581.9958
5.818999  5.855434  14550449.0036
5.855434  5.876137  14472914.2660
5.876137  5.913724  14397006.3167
5.913724  5.933728  14322758.0869
5.933728  5.971036  14250206.6392
5.971036  5.992425  14179392.9202
5.992425  6.028500  14110361.5611
6.028500  6.049179  14043160.7466
6.049179  6.087430  13977842.1672
6.087430  6.107096  13914461.0582
6.107096  6.146139  13853076.3268
6.146139  6.166224  13793750.7616
6.166224  6.203544  13736551.3157
6.203544  6.222908  13681549.4529
6.222908  6.258017  13628821.5457
6.258017  6.283840  13578449.3116
6.283840  6.316702  13530520.2813
6.316702  6.342921  13485128.2900
6.342921  6.369849  13442373.9953
6.369849  6.402898  13402365.4250
6.402898  6.433515  13365218.5714
6.433515  6.457580  13331058.0441
6.457580  6.485788  13300017.8024
6.485788  6.519338  13272241.9735
6.519338  6.548407  13247885.7581
6.548407  6.573019  13227116.3994
6.573019  6.606034  13210114.1691
6.606034  6.630832  13197073.2968
6.630832  6.661472  13188202.7408
6.661472  6.692811  13183726.6838
6.692811  6.718098  13183884.6388
6.718098  6.749669  13188931.0683
6.749669  6.778727  13199134.4754
6.778727  6.807633  13214775.9932
6.807633  6.835900  13236147.5876
6.835900  6.866563  13263550.0730
6.866563  6.894131  13297291.2010
6.894131  6.923503  13337684.0980
6.923503  6.953201  13385046.2781
6.953201  6.981386  13439699.3423
6.981386  7.025153  13501969.2851
7.025153  7.049707  13572187.0959
7.049707  7.082244  13650689.0778
7.082244  7.106868  13737816.0434
7.106868  7.141057  13833910.3195
7.141057  7.164064  13939309.3202
7.164064  7.198777  14054334.3752
7.198777  7.222807  14179273.5658
7.222807  7.255868  14314357.5885
7.255868  7.279806  14459728.2059
7.279806  7.314705  14615399.7188
7.314705  7.337060  14781215.1377
7.337060  7.372308  14956800.2721
7.372308  7.395734  15141520.6364
7.395734  7.429434  15334447.5579
7.429434  7.452697  15534340.7537
7.452697  7.488341  15739654.4562
7.488341  7.510102  15948572.5672
7.510102  7.548248  16159075.1953
7.548248  7.569847  16369034.5515
7.569847  7.603268  16576333.2092
7.603268  7.625821  16778993.1581
7.625821  7.647535  16975300.9732
7.647535  7.662570  17163913.6798
7.662570  7.667970  17343931.9242
7.667970  7.676989  17514931.6465
7.676989  7.683052  17676951.7045
7.683052  7.695608  17830441.5369
7.695608  7.698517  17976178.5532
7.698517  7.710945  18115168.4105
7.710945  7.716764  18248542.1079
7.716764  7.726504  18377462.0533
7.726504  7.732951  18503045.6338
7.732951  7.745624  18626310.4075
7.745624  7.748382  18748140.8894
7.748382  7.759937  18869273.8286
7.759937  7.765255  18990297.2286
7.765255  7.774239  19111658.0865
7.774239  7.780360  19233674.5122
7.780360  7.792998  19356549.0241
7.792998  7.795907  19480380.9387
7.795907  7.808359  19605176.6249
7.808359  7.814049  19730856.9701
7.814049  7.823499  19857261.8856
7.823499  7.829643  19984152.2916
7.829643  7.841676  20111210.9095
7.841676  7.844352  20238044.2592
7.844352  7.855745  20364189.1739
7.855745  7.861016  20489127.4100
7.861016  7.870035  20612311.0881
7.870035  7.876203  20733199.6045
7.876203  7.888887  20851305.5998
7.888887  7.891761  20966244.3654
7.891761  7.898462  21077778.7474
7.898462  7.904039  21185851.1149
7.904039  7.909444  21290595.7092
7.909444  7.909554  21392328.3605
7.909554  7.918573  21491515.1475
7.918573  7.920396  21588725.7429
7.920396  7.924473  21684579.7625
7.924473  7.931320  21779694.8177
7.931320  7.938659  21874643.3198
7.938659  7.938787  21969922.1447
7.938787  7.942216  22065936.0370
7.942216  7.953083  22162992.9796
7.953083  7.957860  22261308.1786
7.957860  7.957999  22361012.9145
7.957999  7.963921  22462165.1064
7.963921  7.974731  22564759.6737
7.974731  7.977829  22668738.2486
7.977829  7.978609  22773999.0455
7.978609  7.985514  22880408.3068
7.985514  7.996268  22987814.4716
7.996268  7.999311  23096065.0620
7.999311  8.001766  23205024.6660
8.001766  8.006994  23314590.9568
8.006994  8.017693  23424705.1059
8.017693  8.020548  23535353.6290
8.020548  8.020676  23646560.5731
8.020676  8.028365  23758371.5060
8.028365  8.039009  23870833.1951
8.039009  8.039936  23983974.3588
8.039936  8.042019  24097792.8597
8.042019  8.049626  24212253.0269
8.049626  8.060215  24327293.8138
8.060215  8.062523  24442845.0698
8.062523  8.062965  24558846.4530
8.062965  8.070778  24675262.4621
8.070778  8.081314  24792088.2463
8.081314  8.082457  24909343.9977
8.082457  8.082539  25027059.8568
8.082539  8.091824  25145256.9363
8.091824  8.101961  25263931.9571
8.101961  8.102307  25383052.3094
8.102307  8.104416  25502565.1474
8.104416  8.112764  25622419.2700
8.112764  8.123024  25742593.5091
8.123024  8.123194  25863121.8613
8.123194  8.123990  25984105.0807
8.123990  8.133598  26105701.5278
8.133598  8.142085  26228096.1482
8.142085  8.142120  26351453.7408
8.142120  8.143977  26475868.6851
8.143977  8.154330  26601325.7946
8.154330  8.162345  26727684.9746
8.162345  8.164657  26854696.6176
8.164657  8.165441  26982047.0126
8.165441  8.174958  27109425.4175
8.174958  8.184107  27236598.1814
8.184107  8.185234  27363471.6172
8.185234  8.185503  27490125.7660
8.185503  8.195485  27616807.2414
8.195485  8.202121  27743880.7587
8.202121  8.202191  27871752.6589
8.202191  8.205711  28000790.4192
8.205711  8.215912  28131264.8530
8.215912  8.221066  28263334.5250
8.221066  8.224604  28397076.9005
8.224604  8.226089  28532552.4355
8.226089  8.236240  28669871.4398
8.236240  8.243025  28809225.0690
8.243025  8.245038  28950848.3821
8.245038  8.246367  29094909.8627
8.246367  8.256470  29241362.4546
8.256470  8.262133  29389825.2962
8.262133  8.266548  29539566.8659
8.266548  8.276603  29689618.8784
8.276603  8.280601  29838985.9330
8.280601  8.284418  29986868.6316
8.284418  8.286633  30132817.6519
8.286633  8.296640  30276779.0729
8.296640  8.301012  30419043.9580
8.301012  8.303398  30560144.0523
8.303398  8.306623  30700731.1016
8.306623  8.316582  30841456.2138
8.316582  8.319469  30982852.1607
8.319469  8.322250  31125228.0446
8.322250  8.326518  31268603.8937
8.326518  8.336431  31412719.1401
8.336431  8.341742  31557126.1116
8.341742  8.343604  31701337.4305
8.343604  8.346321  31844968.4004
8.346321  8.356188  31987827.0951
8.356188  8.359954  32129943.8394
8.359954  8.362700  32271560.6780
8.362700  8.366032  32413097.2271
8.366032  8.375853  32555085.6055
8.375853  8.377246  32698058.4188
8.377246  8.380214  32842400.9448
8.380214  8.385652  32988224.6546
8.385652  8.395428  33135336.2285
8.395428  8.398496  33283331.0401
8.398496  8.400404  33431760.4437
8.400404  8.405182  33580279.9285
8.405182  8.414914  33728717.6576
8.414914  8.416661  33877070.0586
8.416661  8.420059  34025467.7762
8.420059  8.424624  34174142.1102
8.424624  8.434312  34323385.4438
8.434312  8.435012  34473473.6243
8.435012  8.438492  34624534.6746
8.438492  8.443978  34776414.5545
8.443978  8.453623  34928649.1185
8.453623  8.456099  35080612.1399
8.456099  8.457996  35231778.6635
8.457996  8.463246  35381952.4231
8.463246  8.472484  35531348.2463
8.472484  8.472848  35680529.2764
8.472848  8.476173  35830263.4934
8.476173  8.482429  35981367.9634
8.482429  8.490021  36134578.4507
8.490021  8.491989  36290420.5246
8.491989  8.494222  36449030.4357
8.494222  8.501528  36609978.6096
8.501528  8.511046  36772288.9429
8.511046  8.512969  36934760.8430
8.512969  8.514714  37096398.4924
8.514714  8.520544  37256630.2162
8.520544  8.530021  37415257.2988
8.530021  8.531507  37572342.3722
8.531507  8.533275  37728181.3688
8.533275  8.539477  37883308.0988
8.539477  8.548124  38038466.2003
8.548124  8.548914  38194517.2436
8.548914  8.550196  38352199.7647
8.550196  8.558331  38511776.9182
8.558331  8.567593  38672912.6362
8.567593  8.567727  38835007.1644
8.567727  8.569246  38997630.8164
8.569246  8.577104  39160555.4253
8.577104  8.586049  39323545.7817
8.586049  8.586461  39486425.2772
8.586461  8.587935  39649327.3800
8.587935  8.595799  39812633.0949
8.595799  8.603807  39976682.5294
8.603807  8.605117  40141744.7848
8.605117  8.606018  40308077.4891
8.606018  8.614416  40475585.3853
8.614416  8.623369  40643499.1396
8.623369  8.623696  40810881.5549
8.623696  8.624987  40977511.0203
8.624987  8.632957  41143978.6610
8.632957  8.640639  41311178.1180
8.640639  8.642199  41480267.4005
8.642199  8.642268  41652791.5166
8.642268  8.651423  41829859.8648
8.651423  8.660627  42011224.4526
8.660627  8.661481  42196148.2738
8.661481  8.663913  42385120.2361
8.663913  8.669814  42579264.1542
8.669814  8.678982  42777525.0691
8.678982  8.686302  42975965.0858
8.686302  8.688129  43171226.1535
8.688129  8.688132  43363827.1762
8.688132  8.697264  43556497.4607
8.697264  8.706378  43749915.7783
8.706378  8.708704  43942150.9783
8.708704  8.710309  44132176.1284
8.710309  8.715475  44321495.2892
8.715475  8.724553  44511657.0010
8.724553  8.728545  44702644.9547
8.728545  8.730860  44895125.7572
8.730860  8.733615  45091772.3041
8.733615  8.742659  45293676.3790
8.742659  8.751685  45497147.5378
8.751685  8.752051  45697638.5968
8.752051  8.753844  45896260.5722
8.753844  8.760695  46098419.9182
8.760695  8.769688  46305516.8033
8.769688  8.774848  46512260.5610
8.774848  8.776512  46714138.7827
8.776512  8.778664  46913505.6125
8.778664  8.787623  47114696.9324
8.787623  8.795295  47316575.8357
8.795295  8.796566  47515569.8191
