# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_51233.root : dRtdkH1
# GENERATED: 2025-11-17 12:54:37
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.911076
# E_MAX_AVAILABLE 11.421508
# TOTAL_BINS 649
# TOTAL_COUNTS 15154426863.09
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.911076  2.936512  24342550.1227
2.936512  2.969174  25840923.3508
2.969174  2.994634  27249878.0120
2.994634  3.027378  28551963.0467
3.027378  3.052837  29732461.7417
3.052837  3.085499  30779824.7534
3.085499  3.110959  31685955.9754
3.110959  3.143796  32446340.4886
3.143796  3.169197  33060014.1573
3.169197  3.202023  33529384.3567
3.202023  3.227366  33859920.0380
3.227366  3.260284  34059736.2067
3.260284  3.285592  34139102.4752
3.285592  3.318441  34109907.4528
3.318441  3.343726  33985110.4130
3.343726  3.376737  33778209.1898
3.376737  3.401953  33502749.0293
3.401953  3.435045  33171891.7037
3.435045  3.460226  32798058.1532
3.460226  3.493354  32392651.8110
3.493354  3.518511  31965864.0692
3.518511  3.551697  31526558.4337
3.551697  3.576830  31082226.0313
3.576830  3.608317  30639002.3991
3.608317  3.632474  30201733.8883
3.632474  3.666719  29774081.4722
3.666719  3.690747  29358650.0723
3.690747  3.725062  28957132.5291
3.725062  3.748997  28570458.7991
3.748997  3.783242  28198942.6789
3.783242  3.807119  27842420.1380
3.807119  3.841585  27500375.0631
3.841585  3.865438  27172049.7595
3.865438  3.899846  26856538.8779
3.899846  3.923595  26552866.5009
3.923595  3.958294  26260046.9349
3.958294  3.981973  25977130.3470
3.981973  4.016707  25703234.7730
4.016707  4.040305  25437566.2587
4.040305  4.075120  25179429.0084
4.075120  4.098636  24928227.4278
4.098636  4.175422  24683461.8995
4.175422  4.199648  24444720.0195
4.199648  4.233590  24211664.8800
4.233590  4.257724  23984021.7988
4.257724  4.291805  23761564.6914
4.291805  4.315857  23544103.0564
4.315857  4.350067  23331470.3067
4.350067  4.374014  23123513.9441
4.374014  4.407619  22920087.8512
4.407619  4.431019  22721046.7664
4.431019  4.465880  22526242.8431
4.465880  4.489199  22335524.0570
4.489199  4.524619  22148734.1377
4.524619  4.548252  21965713.6554
4.548252  4.582717  21786301.8843
4.582717  4.606222  21610339.0887
4.606222  4.640781  21437668.9276
4.640781  4.664181  21268140.7340
4.664181  4.698891  21101611.4942
4.698891  4.722175  20937947.4170
4.722175  4.755745  20777025.0445
4.755745  4.778063  20618731.8991
4.778063  4.813704  20462966.7033
4.813704  4.836255  20309639.2271
4.836255  4.873734  20158669.8368
4.873734  4.895924  20009988.8198
4.895924  4.930716  19863535.5625
4.930716  4.952999  19719257.6468
4.952999  4.989198  19577109.9282
4.989198  5.012564  19437053.6392
5.012564  5.046971  19299055.5562
5.046971  5.067905  19163087.2508
5.067905  5.106222  19029124.4360
5.106222  5.128959  18897146.4073
5.128959  5.162308  18767135.5684
5.162308  5.184276  18639077.0248
5.184276  5.222454  18512958.2251
5.222454  5.243934  18388768.6286
5.243934  5.279273  18266499.3804
5.279273  5.300892  18146142.9811
5.300892  5.337790  18027692.9473
5.337790  5.360411  17911143.4680
5.360411  5.395505  17796489.0747
5.395505  5.415763  17683724.3508
5.415763  5.453592  17572843.7141
5.453592  5.474898  17463841.3084
5.474898  5.510992  17356711.0374
5.510992  5.532228  17251446.7654
5.532228  5.570057  17148042.6949
5.570057  5.589978  17046493.9140
5.589978  5.622791  16946797.0865
5.622791  5.644923  16848951.2412
5.644923  5.680262  16752958.6039
5.680262  5.701846  16658825.4087
5.701846  5.739291  16566562.6290
5.739291  5.759689  16476186.5779
5.759689  5.796668  16387719.3450
5.796668  5.818497  16301189.0550
5.818497  5.854930  16216629.9564
5.854930  5.875630  16134082.3653
5.875630  5.913215  16053592.5023
5.913215  5.933217  15975212.2660
5.933217  5.970522  15898998.9903
5.970522  5.991909  15825015.2244
5.991909  6.027981  15753328.5681
6.027981  6.048658  15684011.5861
6.048658  6.086905  15617141.8143
6.086905  6.106570  15552801.8632
6.106570  6.145609  15491079.6192
6.145609  6.165693  15432068.5368
6.165693  6.203010  15375868.0143
6.203010  6.222372  15322583.8430
6.222372  6.257478  15272328.7195
6.257478  6.283298  15225222.8123
6.283298  6.316158  15181394.3763
6.316158  6.342374  15140980.4130
6.342374  6.369300  15104127.3813
6.369300  6.402346  15070991.9670
6.402346  6.432961  15041741.9286
6.432961  6.457024  15016557.0343
6.457024  6.485230  14995630.1059
6.485230  6.518776  14979168.1734
6.518776  6.547843  14967393.7242
6.547843  6.572453  14960546.0035
6.572453  6.605465  14958882.2836
6.605465  6.630261  14962678.9805
6.630261  6.660899  14972232.4587
6.660899  6.692234  14987859.3431
6.692234  6.717519  15009896.1616
6.717519  6.749088  15038698.1817
6.749088  6.778143  15074637.3885
6.778143  6.807047  15118099.6734
6.807047  6.835311  15169481.4429
6.835311  6.865972  15229185.9986
6.865972  6.893537  15297620.1307
6.893537  6.922907  15375191.3928
6.922907  6.952602  15462306.4369
6.952602  6.980784  15559370.5912
6.980784  7.024547  15666788.5646
7.024547  7.049099  15784965.7841
7.049099  7.081634  15914309.4779
7.081634  7.106256  16055228.2351
7.106256  7.140442  16208128.4678
7.140442  7.163447  16373406.0048
7.163447  7.198157  16551430.9957
7.198157  7.222185  16742524.4675
7.222185  7.255243  16946925.3001
7.255243  7.279178  17164747.1795
7.279178  7.314075  17395926.3102
7.314075  7.336428  17640162.3568
7.336428  7.371673  17896857.1651
7.371673  7.395096  18165058.0286
7.395096  7.428794  18443414.2129
7.428794  7.452055  18730156.5386
7.452055  7.487696  19023109.4610
7.487696  7.509455  19319742.7983
7.509455  7.547598  19617265.9291
7.547598  7.569194  19912761.2874
7.569194  7.602613  20203347.2436
7.602613  7.625164  20486354.3216
7.625164  7.646877  20759494.6218
7.646877  7.661910  21021003.4880
7.661910  7.667309  21269735.4129
7.667309  7.676327  21505202.5670
7.676327  7.682390  21727552.9539
7.682390  7.694945  21937494.2448
7.694945  7.697854  22136176.9220
7.697854  7.710281  22325054.9689
7.710281  7.716099  22505743.2570
7.716099  7.725839  22679888.2173
7.725839  7.732285  22849063.3300
7.732285  7.744957  23014694.8834
7.744957  7.747714  23178017.7696
7.747714  7.759269  23340056.8913
7.759269  7.764586  23501627.5377
7.764586  7.773569  23663347.7355
7.773569  7.779690  23825656.5504
7.779690  7.792327  23988833.8947
7.792327  7.795236  24153018.9570
7.795236  7.807686  24318225.5645
7.807686  7.813376  24484353.6013
7.813376  7.822825  24651196.2638
7.822825  7.828969  24818443.7499
7.828969  7.841000  24985685.1377
7.841000  7.843676  25152411.5913
7.843676  7.855068  25318025.2223
7.855068  7.860339  25481858.2648
7.860339  7.869357  25643206.1354
7.869357  7.875524  25801375.2210
7.875524  7.888208  25955742.2847
7.888208  7.891082  26105818.2214
7.891082  7.897782  26251305.8930
7.897782  7.903358  26392141.1373
7.903358  7.908762  26528508.3187
7.908762  7.908873  26660826.5509
7.908873  7.917891  26789708.6716
7.917891  7.919714  26915900.4495
7.919714  7.923790  27040210.8296
7.923790  7.930637  27163444.5112
7.930637  7.937975  27286345.9916
7.937975  7.938103  27409560.3888
7.938103  7.941532  27533612.1572
7.941532  7.952397  27658899.3702
7.952397  7.957174  27785699.1978
7.957174  7.957314  27914179.7000
7.957314  7.963235  28044413.8262
7.963235  7.974044  28176393.1191
7.974044  7.977142  28310040.5213
7.977142  7.977921  28445223.3000
7.977921  7.984826  28581767.9065
7.984826  7.995579  28719478.2385
7.995579  7.998622  28858157.3139
7.998622  8.001077  28997630.2924
8.001077  8.006305  29137764.9471
8.006305  8.017003  29278484.9474
8.017003  8.019857  29419772.1845
8.019857  8.019985  29561656.7623
8.019985  8.027673  29704196.5314
8.027673  8.038316  29847451.1337
8.038316  8.039243  29991457.4239
8.039243  8.041326  30136213.1042
8.041326  8.048932  30281673.2592
8.048932  8.059521  30427760.6828
8.059521  8.061829  30574386.5308
8.061829  8.062271  30721474.3413
8.062271  8.070083  30868979.1456
8.070083  8.080618  31016894.8913
8.080618  8.081761  31165247.3964
8.081761  8.081842  31314075.2794
8.081842  8.091127  31463405.9552
8.091127  8.101263  31613236.1736
8.101263  8.101609  31763525.7021
8.101609  8.103718  31914208.7048
8.103718  8.112065  32065221.2376
8.112065  8.122324  32216536.9473
8.122324  8.122494  32368198.6802
8.122494  8.123290  32520333.0757
8.123290  8.132898  32673139.1021
8.132898  8.141384  32826849.1410
8.141384  8.141419  32981670.3788
8.141419  8.143275  33137721.7945
8.143275  8.153627  33294985.1406
8.153627  8.161642  33453285.7941
8.161642  8.163953  33612312.1144
8.163953  8.164737  33771672.3437
8.164737  8.174254  33930978.5321
8.174254  8.183402  34089939.1771
8.183402  8.184529  34248437.7015
8.184529  8.184798  34406574.5000
8.184798  8.194779  34564657.8676
8.194779  8.201414  34723143.3774
8.201414  8.201484  34882538.3625
8.201484  8.205004  35043301.4448
8.205004  8.215205  35205770.3949
8.215205  8.220358  35370142.6301
8.220358  8.223895  35536513.9386
8.223895  8.225380  35704958.2353
8.225380  8.235531  35875610.8277
8.235531  8.242315  36048707.1913
8.242315  8.244328  36224537.4651
8.244328  8.245657  36403309.7239
8.245657  8.255759  36584965.4840
8.255759  8.261421  36769033.2025
8.261421  8.265836  36954607.4098
8.265836  8.275890  37140489.8292
8.275890  8.279888  37325449.0962
8.279888  8.283704  37508497.0976
8.283704  8.285919  37689079.6704
8.285919  8.295925  37867132.4749
8.295925  8.300297  38043018.2119
8.300297  8.302682  38217397.1345
8.302682  8.305907  38391077.4492
8.305907  8.315866  38564866.0471
8.315866  8.318752  38739423.1701
8.318752  8.321533  38915132.5595
8.321533  8.325801  39092020.9681
8.325801  8.335713  39269768.8123
8.335713  8.341023  39447825.6371
8.341023  8.342885  39625592.0078
8.342885  8.345602  39802595.1530
8.345602  8.355468  39978600.0243
8.355468  8.359234  40153645.5130
8.359234  8.361980  40328031.2610
8.361980  8.365311  40502275.3872
8.365311  8.375131  40677034.2594
8.375131  8.376525  40852964.6405
8.376525  8.379492  41030541.8955
8.379492  8.384929  41209904.4832
8.384929  8.394705  41390815.9010
8.394705  8.397772  41572779.7046
8.397772  8.399680  41755245.2985
8.399680  8.404458  41937790.1900
8.404458  8.414189  42120204.2938
8.414189  8.415936  42302484.4674
8.415936  8.419334  42484792.5507
8.419334  8.423898  42667414.0063
8.423898  8.433585  42850709.2457
8.433585  8.434286  43035018.3233
