# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_51038.root : dRtdkH1
# GENERATED: 2025-11-17 12:52:39
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.911076
# E_MAX_AVAILABLE 11.421508
# TOTAL_BINS 649
# TOTAL_COUNTS 12624316068.02
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.911076  2.936512  20684381.9527
2.936512  2.969174  21957842.1603
2.969174  2.994634  23155286.9346
2.994634  3.027378  24261879.3050
3.027378  3.052837  25265107.8917
3.052837  3.085499  26155155.1680
3.085499  3.110959  26925140.5128
3.110959  3.143796  27571228.9032
3.143796  3.169197  28092604.8832
3.169197  3.202023  28491319.8941
3.202023  3.227366  28772028.4656
3.227366  3.260284  28941634.6204
3.260284  3.285592  29008873.7333
3.285592  3.318441  28983856.8804
3.318441  3.343726  28877604.4280
3.343726  3.376737  28701593.4908
3.376737  3.401953  28467340.2898
3.401953  3.435045  28186033.8244
3.435045  3.460226  27868232.1292
3.460226  3.493354  27523627.1876
3.493354  3.518511  27160879.7260
3.518511  3.551697  26787520.9351
3.551697  3.576830  26409914.8649
3.576830  3.608317  26033272.9139
3.608317  3.632474  25661710.4833
3.632474  3.666719  25298335.4007
3.666719  3.690747  24945358.0069
3.690747  3.725062  24604213.6540
3.725062  3.748997  24275689.6125
3.748997  3.783242  23960049.8405
3.783242  3.807119  23657152.5914
3.807119  3.841585  23366557.2948
3.841585  3.865438  23087618.4607
3.865438  3.899846  22819565.4818
3.899846  3.923595  22561568.1102
3.923595  3.958294  22312788.0804
3.958294  3.981973  22072417.8473
3.981973  4.016707  21839707.7415
4.016707  4.040305  21613983.0412
4.040305  4.075120  21394652.5531
4.075120  4.098636  21181210.3101
4.098636  4.175422  20973231.9449
4.175422  4.199648  20770367.2131
4.199648  4.233590  20572330.0086
4.233590  4.257724  20378887.0649
4.257724  4.291805  20189846.3569
4.291805  4.315857  20005046.0281
4.315857  4.350067  19824344.4658
4.350067  4.374014  19647611.9468
4.374014  4.407619  19474724.0849
4.407619  4.431019  19305557.1366
4.431019  4.465880  19139985.0796
4.465880  4.489199  18977878.2627
4.489199  4.524619  18819103.3519
4.524619  4.548252  18663524.2576
4.548252  4.582717  18511003.7210
4.582717  4.606222  18361405.2594
4.606222  4.640781  18214595.2102
4.640781  4.664181  18070444.6672
4.664181  4.698891  17928831.1611
4.698891  4.722175  17789639.9907
4.722175  4.755745  17652765.1621
4.755745  4.778063  17518109.9347
4.778063  4.813704  17385587.0026
4.813704  4.836255  17255118.3592
4.836255  4.873734  17126634.9079
4.873734  4.895924  17000075.8828
4.895924  4.930716  16875388.1431
4.930716  4.952999  16752525.4002
4.952999  4.989198  16631447.4272
4.989198  5.012564  16512119.2915
5.012564  5.046971  16394510.6407
5.046971  5.067905  16278595.0599
5.067905  5.106222  16164349.5100
5.106222  5.128959  16051753.8461
5.128959  5.162308  15940790.4064
5.162308  5.184276  15831443.6591
5.184276  5.222454  15723699.8880
5.222454  5.243934  15617546.8987
5.243934  5.279273  15512973.7296
5.279273  5.300892  15409970.3567
5.300892  5.337790  15308527.3878
5.337790  5.360411  15208635.7515
5.360411  5.395505  15110286.3968
5.395505  5.415763  15013470.0235
5.415763  5.453592  14918176.8755
5.453592  5.474898  14824396.6264
5.474898  5.510992  14732118.3870
5.510992  5.532228  14641330.8563
5.532228  5.570057  14552022.6246
5.570057  5.589978  14464182.6233
5.589978  5.622791  14377800.6975
5.622791  5.644923  14292868.2648
5.644923  5.680262  14209379.0101
5.680262  5.701846  14127329.5628
5.701846  5.739291  14046720.1031
5.739291  5.759689  13967554.8560
5.759689  5.796668  13889842.4408
5.796668  5.818497  13813596.0663
5.818497  5.854930  13738833.5771
5.854930  5.875630  13665577.3717
5.875630  5.913215  13593854.2256
5.913215  5.933217  13523695.0578
5.933217  5.970522  13455134.6789
5.970522  5.991909  13388211.5562
5.991909  6.027981  13322967.6244
6.027981  6.048658  13259448.1615
6.048658  6.086905  13197701.7424
6.086905  6.106570  13137780.2755
6.106570  6.145609  13079739.1225
6.145609  6.165693  13023637.2951
6.165693  6.203010  12969537.7223
6.203010  6.222372  12917507.5765
6.222372  6.257478  12867618.6491
6.257478  6.283298  12819947.7619
6.283298  6.316158  12774577.2077
6.316158  6.342374  12731595.2137
6.342374  6.369300  12691096.4284
6.369300  6.402346  12653182.4379
6.402346  6.432961  12617962.3238
6.432961  6.457024  12585553.2782
6.457024  6.485230  12556081.2919
6.485230  6.518776  12529681.9248
6.518776  6.547843  12506501.1583
6.547843  6.572453  12486696.3086
6.572453  6.605465  12470436.9570
6.605465  6.630261  12457905.8276
6.630261  6.660899  12449299.5170
6.660899  6.692234  12444828.9674
6.692234  6.717519  12444719.5723
6.717519  6.749088  12449210.8272
6.749088  6.778143  12458555.4827
6.778143  6.807047  12473018.2258
6.807047  6.835311  12492873.9972
6.835311  6.865972  12518406.1317
6.865972  6.893537  12549904.5656
6.893537  6.922907  12587664.3704
6.922907  6.952602  12631984.8268
6.952602  6.980784  12683169.1419
6.980784  7.024547  12741524.7387
7.024547  7.049099  12807363.8212
7.049099  7.081634  12881003.6757
7.081634  7.106256  12962765.9160
7.106256  7.140442  13052973.6688
7.140442  7.163447  13151945.5303
7.163447  7.198157  13259985.0577
7.198157  7.222185  13377364.6176
7.222185  7.255243  13504302.6655
7.255243  7.279178  13640934.0358
7.279178  7.314075  13787273.6472
7.314075  7.336428  13943175.1965
7.336428  7.371673  14108287.8701
7.371673  7.395096  14282015.6851
7.395096  7.428794  14463485.4790
7.428794  7.452055  14651530.3999
7.452055  7.487696  14844695.5800
7.487696  7.509455  15041271.1691
7.509455  7.547598  15239354.9603
7.547598  7.569194  15436942.7121
7.569194  7.602613  15632039.5827
7.602613  7.625164  15822781.7702
7.625164  7.646877  16007554.5199
7.646877  7.661910  16185091.9523
7.661910  7.667309  16354546.0820
7.667309  7.676327  16515516.7138
7.676327  7.682390  16668039.8119
7.682390  7.694945  16812538.1880
7.694945  7.697854  16949743.6520
7.697854  7.710281  17080603.0295
7.710281  7.716099  17206181.1899
7.716099  7.725839  17327572.5417
7.725839  7.732285  17445829.0367
7.732285  7.744957  17561908.5606
7.744957  7.747714  17676643.6753
7.747714  7.759269  17790727.7822
7.759269  7.764586  17904714.2253
7.764586  7.773569  18019023.5971
7.773569  7.779690  18133955.1595
