# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_101586.root : dRtdkH1
# GENERATED: 2025-11-17 12:57:04
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.880549
# E_MAX_AVAILABLE 11.345485
# TOTAL_BINS 649
# TOTAL_COUNTS 3494451836.29
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.880549  2.905721  2268612.8466
2.905721  2.938043  2409685.6113
2.938043  2.963227  2543114.6644
2.963227  2.995630  2667354.3715
2.995630  3.020825  2781104.3974
3.020825  3.053147  2883348.7563
3.053147  3.078342  2973381.8945
3.078342  3.110827  3050820.8346
3.110827  3.135964  3115603.3147
3.135964  3.168448  3167972.7284
3.168448  3.193527  3208451.4449
3.193527  3.226092  3237804.6945
3.226092  3.251137  3256997.6209
3.251137  3.283644  3267148.2918
3.283644  3.308666  3269479.4461
3.308666  3.341335  3265271.5408
3.341335  3.366276  3255819.3042
3.366276  3.399026  3242393.5227
3.399026  3.423943  3226209.2650
3.423943  3.456728  3208401.2003
3.456728  3.481611  3190006.1651
3.481611  3.514453  3171952.6831
3.514453  3.539325  3155056.7910
3.539325  3.570481  3140023.2644
3.570481  3.594382  3127451.1786
3.594382  3.628275  3117842.6788
3.628275  3.652049  3111613.8461
3.652049  3.686001  3109106.6282
3.686001  3.709682  3110600.9265
3.709682  3.743576  3116326.0846
3.743576  3.767200  3126471.1853
3.767200  3.801301  3141193.7298
3.801301  3.824902  3160626.4187
3.824902  3.858957  3184881.8933
3.858957  3.882454  3214055.4072
3.882454  3.916786  3248225.4899
3.916786  3.940214  3287452.7412
3.940214  3.974593  3331776.9539
3.974593  3.997939  3381212.8163
3.997939  4.032387  3435744.4936
4.032387  4.055653  3495319.4393
4.055653  4.131642  3559841.8416
4.131642  4.155613  3629166.1658
4.155613  4.189194  3703091.3138
4.189194  4.213072  3781355.9637
4.213072  4.246804  3863635.6819
4.246804  4.270601  3949542.3902
4.270601  4.304448  4038626.7124
4.304448  4.328153  4130383.6130
4.328153  4.361400  4224261.5612
4.361400  4.384562  4319675.2177
4.384562  4.419056  4416021.3590
4.419056  4.442125  4512697.4497
4.442125  4.477174  4609121.9737
4.477174  4.500555  4704755.3855
4.500555  4.534668  4799120.3660
4.534668  4.557922  4891820.0077
4.557922  4.577497  4982552.6168
4.577497  4.577507  5071122.0211
4.577507  4.577517  5157442.5921
4.577517  4.577527  5241538.5968
4.577527  4.577538  5323537.9570
4.577538  4.577548  5403660.9439
4.577548  4.578661  5482204.7395
4.578661  4.592116  5559525.0999
4.592116  4.592805  5636016.5258
4.592805  4.606955  5712092.3798
4.606955  4.615278  5788166.2774
4.615278  4.621101  5864635.8539
4.621101  4.635252  5941869.6984
4.635252  4.649389  6020197.8934
4.649389  4.649622  6099906.2495
4.649622  4.663532  6181234.0117
4.663532  4.672657  6264374.5685
4.672657  4.677671  6349478.5374
4.677671  4.691815  6436658.5218
4.691815  4.705880  6525994.8468
4.705880  4.705944  6617541.6501
4.705944  4.720079  6711332.8219
4.720079  4.727956  6807387.4269
4.727956  4.734209  6905714.3837
4.734209  4.748344  7006316.3050
4.748344  4.762465  7109192.5051
4.762465  4.763225  7214341.2548
4.763225  4.776590  7321761.4030
4.776590  4.785543  7431453.4988
4.785543  4.790711  7543420.5375
4.790711  4.804827  7657668.4307
4.804827  4.818948  7774206.2722
4.818948  4.822625  7893046.4431
4.822625  4.833053  8014204.5790
4.833053  4.844585  8137699.4130
4.844585  4.847163  8263552.5074
4.847163  4.861268  8391787.8954
4.861268  4.875378  8522431.6678
4.875378  4.879010  8655511.5494
4.879010  4.889473  8791056.5138
4.889473  4.901063  8929096.4818
4.901063  4.903572  9069662.1285
4.903572  4.917665  9212784.8025
4.917665  4.931753  9358496.5271
4.931753  4.936886  9506830.0313
4.936886  4.945846  9657818.7418
4.945846  4.959922  9811496.6687
4.959922  4.960001  9967898.1418
4.960001  4.974003  10127057.3876
4.974003  4.988078  10289007.9897
4.988078  4.994045  10453782.3177
4.994045  5.002158  10621411.0411
5.002158  5.014758  10791922.8503
5.014758  5.016221  10965344.4819
5.016221  5.030289  11141701.0896
5.030289  5.044350  11321016.9273
5.044350  5.052683  11503316.2347
5.052683  5.058406  11688624.1537
5.058406  5.072455  11876967.4790
5.072455  5.075175  12068375.0629
5.075175  5.086508  12262877.7614
5.086508  5.100544  12460507.9020
5.100544  5.108179  12661298.3656
5.108179  5.114584  12865281.4677
5.114584  5.128629  13072487.8773
5.128629  5.129920  13282945.8131
5.129920  5.142656  13496680.6917
5.142656  5.156687  13713715.3001
5.156687  5.167695  13934070.4333
5.167695  5.170701  14157765.8202
5.170701  5.184719  14384821.0817
5.184719  5.188950  14615256.4502
5.188950  5.198740  14849093.0310
5.198740  5.212744  15086352.4994
5.212744  5.223918  15327056.2743
5.223918  5.226752  15571224.3605
5.226752  5.240742  15818874.1579
5.240742  5.245313  16070019.5867
5.245313  5.254735  16324670.8344
5.254735  5.268732  16582834.9111
5.268732  5.281817  16844517.0208
5.281817  5.282712  17109722.5523
5.282712  5.296694  17378459.3209
5.296694  5.304205  17650739.5856
5.304205  5.310669  17926581.3710
5.310669  5.324637  18206008.7385
5.324637  5.338598  18489050.8634
5.338598  5.338930  18775740.0345
5.338930  5.352551  19066108.9329
5.352551  5.358973  19360187.7017
5.358973  5.366507  19658001.3426
5.366507  5.380455  19959567.8522
5.380455  5.394396  20264897.2830
5.394396  5.396401  20573991.6392
5.396401  5.408329  20886845.2793
5.408329  5.417484  21203445.3804
5.417484  5.422265  21523772.0591
5.422265  5.436194  21847797.9483
5.436194  5.450114  22175487.3596
5.450114  5.453202  22506795.5142
5.453202  5.464026  22841668.5924
5.464026  5.474216  23180045.4160
5.474216  5.477930  23521861.3633
5.477930  5.491837  23867054.6313
5.491837  5.505725  24215574.3019
5.505725  5.511656  24567389.0191
5.511656  5.519615  24922494.6519
5.519615  5.531363  25280919.2576
5.531363  5.533509  25642724.0477
5.533509  5.547382  26007999.7982
5.547382  5.561259  26376859.0607
5.561259  5.563836  26749425.3552
5.563836  5.575127  27125821.0050
5.575127  5.585727  27506155.2644
5.585727  5.588986  27890513.8139
5.588986  5.602837  28278949.6189
5.602837  5.616690  28671473.5933
5.616690  5.620695  29068041.3831
5.620695  5.630523  29468529.5248
5.630523  5.642055  29872689.5680
5.642055  5.644359  30280061.6849
5.644359  5.658196  30689819.2870
5.658196  5.672014  31100503.6720
5.672014  5.679113  31509595.0508
5.679113  5.685834  31912858.6925
5.685834  5.699295  32303411.2591
5.699295  5.699634  32670484.9423
5.699634  5.713447  32997938.8096
5.713447  5.727239  33262685.7778
5.727239  5.735880  33433363.2697
5.735880  5.741023  33469744.4570
5.741023  5.754808  33323503.4862
5.754808  5.757482  32940928.2872
5.757482  5.768584  32267938.9973
5.768584  5.782351  31257286.9647
5.782351  5.793536  29877138.8760
5.793536  5.796119  28119563.8171
5.796119  5.809878  26006988.8120
5.809878  5.814018  23594714.7359
5.814018  5.823627  20968211.8616
5.823627  5.837367  18235053.6820
5.837367  5.851097  15512690.6045
5.851097  5.851204  12914379.9828
5.851204  5.864829  10536089.4592
5.864829  5.871004  8446899.6569
5.871004  5.878550  6684458.9477
5.878550  5.892262  5255733.2140
5.892262  5.905964  4142080.2743
5.905964  5.907912  3306908.5871
5.907912  5.919656  2703997.0009
5.919656  5.929076  2284882.7283
5.929076  5.964771  2004349.9542
5.964771  5.985230  1823720.4555
5.985230  6.023074  1712170.5029
6.023074  6.042539  1646589.9149
6.042539  6.081169  1610570.3752
6.081169  6.101039  1593029.1393
6.101039  6.141286  1586822.9727
6.141286  6.160508  1587551.1410
6.160508  6.193455  1592622.9302
6.193455  6.219089  1600586.2351
6.219089  6.249309  1610674.4154
6.249309  6.275335  1622517.0610
6.275335  6.302101  1635964.3931
6.302101  6.334909  1650985.5240
6.334909  6.368167  1667612.0658
6.368167  6.392057  1685907.9573
6.392057  6.417748  1705953.1208
6.417748  6.451053  1727832.9635
6.451053  6.482867  1751628.4786
6.482867  6.507299  1777403.5216
6.507299  6.535613  1805187.3531
6.535613  6.560231  1834952.1852
6.560231  6.595961  1866587.4492
6.595961  6.627070  1899874.7543
6.627070  6.651064  1934469.6188
6.651064  6.682405  1969897.2510
6.682405  6.711227  2005568.9887
6.711227  6.739922  2040822.7568
6.739922  6.766503  2074985.2275
6.766503  6.796769  2107446.6556
6.796769  6.796943  2137733.9927
6.796943  6.811810  2165566.2831
6.811810  6.817286  2190879.7149
6.817286  6.826239  2213817.2662
6.826239  6.830848  2234687.0639
6.830848  6.832095  2253901.1600
6.832095  6.846177  2271909.9409
6.846177  6.846304  2289146.0782
6.846304  6.860005  2305986.8693
6.860005  6.865238  2322737.2241
6.865238  6.865377  2339629.8248
6.865377  6.884611  2356835.7198
6.884611  6.885061  2374478.1949
6.885061  6.885835  2392644.4636
6.885835  6.906386  2411392.3254
6.906386  6.908824  2430751.4612
6.908824  6.912590  2450721.0702
6.912590  6.927469  2471267.0354
6.927469  6.927596  2492322.5084
6.927596  6.946714  2513795.1698
6.946714  6.948782  2535582.0361
6.948782  6.958151  2557589.0492
6.958151  6.969137  2579749.4576
6.969137  6.969576  2602034.1879
6.969576  6.982526  2624450.0888
6.982526  6.988925  2647027.2289
6.988925  6.989006  2669801.7542
6.989006  7.008286  2692803.0973
7.008286  7.010724  2716051.8850
7.010724  7.016049  2739568.5575
7.016049  7.029196  2763385.7678
7.029196  7.030154  2787554.1638
7.030154  7.040493  2812133.8062
7.040493  7.048118  2837171.6653
7.048118  7.048152  2862675.2754
7.048152  7.068230  2888597.8865
7.068230  7.071303  2914847.1153
7.071303  7.076801  2941317.7382
7.076801  7.089832  2967935.8061
7.089832  7.091218  2994693.8951
7.091218  7.099640  3021661.3348
7.099640  7.107715  3048967.1630
7.107715  7.107784  3076769.0014
7.107784  7.126521  3105227.4016
7.126521  7.130033  3134496.7972
7.130033  7.131858  3164725.8816
7.131858  7.148320  3196046.2523
7.148320  7.150318  3228532.7544
7.150318  7.155713  3262143.6787
7.155713  7.167288  3296677.1481
7.167288  7.185621  3331786.3891
7.185621  7.189410  3367068.5876
7.189410  7.192033  3402194.7427
7.192033  7.205883  3437015.3850
7.205883  7.208252  3471584.6068
7.208252  7.215795  3506089.0690
7.215795  7.224205  3540721.7640
7.224205  7.226966  3575570.8991
