# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_41172.root : dRtdkH1
# GENERATED: 2025-11-17 12:50:34
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.905592
# E_MAX_AVAILABLE 11.399994
# TOTAL_BINS 649
# TOTAL_COUNTS 13573739524.16
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.905592  2.930981  21877226.7849
2.930981  2.963582  23185686.7759
2.963582  2.988993  24418651.8926
2.988993  3.021675  25561576.7302
3.021675  3.047087  26602099.0827
3.047087  3.079688  27530389.2180
3.079688  3.105099  28339386.4376
3.105099  3.137874  29024914.1454
3.137874  3.163228  29585672.3224
3.163228  3.195991  30023113.7375
3.195991  3.221287  30341216.8358
3.221287  3.254143  30546173.5502
3.254143  3.279404  30646013.9551
3.279404  3.312190  30650191.5545
3.312190  3.337428  30569153.0856
3.337428  3.370377  30413915.1898
3.370377  3.395545  30195667.4436
3.395545  3.428575  29925417.4285
3.428575  3.453708  29613689.1554
3.453708  3.486773  29270281.6518
3.486773  3.511883  28904090.2195
3.511883  3.545007  28522989.0660
3.545007  3.570093  28133770.9011
3.570093  3.601521  27742136.7799
3.601521  3.625632  27352727.9848
3.625632  3.659812  26969191.0304
3.659812  3.683795  26594266.8353
3.683795  3.718045  26229895.6101
3.718045  3.741935  25877329.9061
3.741935  3.776116  25537249.4057
3.776116  3.799948  25209872.2912
3.799948  3.834349  24895059.2824
3.834349  3.858158  24592407.6154
3.858158  3.892500  24301333.2793
3.892500  3.916205  24021140.7178
3.916205  3.950838  23751079.9144
3.950838  3.974473  23490391.3377
3.974473  4.009141  23238339.6225
4.009141  4.032694  22994237.1451
4.032694  4.067444  22757458.8198
4.067444  4.090916  22527449.5310
4.090916  4.167557  22303725.6334
4.167557  4.191738  22085871.9129
4.191738  4.225616  21873535.3203
4.225616  4.249704  21666416.6654
4.249704  4.283721  21464261.3126
4.283721  4.307728  21266849.7465
4.307728  4.341873  21073988.6925
4.341873  4.365775  20885503.2876
4.365775  4.399317  20701230.6165
4.399317  4.422673  20521014.7584
4.422673  4.457468  20344703.3490
4.457468  4.480743  20172145.5423
4.480743  4.516096  20003191.1785
4.516096  4.539685  19837690.9113
4.539685  4.574086  19675497.0302
4.574086  4.597546  19516464.7176
4.597546  4.632040  19360453.5086
4.632040  4.655396  19207328.7596
4.655396  4.690041  19056962.9785
4.690041  4.713281  18909236.9148
4.713281  4.746787  18764040.3539
4.746787  4.769063  18621272.5935
4.769063  4.804637  18480842.6149
4.804637  4.827145  18342668.9762
4.827145  4.864554  18206679.4755
4.864554  4.886702  18072810.6327
4.886702  4.921428  17941007.0458
4.921428  4.943669  17811220.6703
4.943669  4.979801  17683410.0676
4.979801  5.003122  17557539.6613
5.003122  5.037465  17433579.0282
5.037465  5.058359  17311502.2458
5.058359  5.096604  17191287.3061
5.096604  5.119298  17072915.5975
5.119298  5.152584  16956371.4510
5.152584  5.174511  16841641.7406
5.174511  5.212617  16728715.5231
5.212617  5.234057  16617583.7061
5.234057  5.269329  16508238.7290
5.269329  5.290908  16400674.2520
5.290908  5.327736  16294884.8477
5.327736  5.350314  16190865.7041
5.350314  5.385342  16088612.3489
5.385342  5.405562  15988120.4156
5.405562  5.443320  15889385.4751
5.443320  5.464585  15792402.9577
5.464585  5.500612  15697168.1882
5.500612  5.521808  15603676.5493
5.521808  5.559565  15511923.7794
5.559565  5.579448  15421906.3966
5.579448  5.612200  15333622.2283
5.612200  5.634290  15247071.0127
5.634290  5.669562  15162255.0299
5.669562  5.691106  15079179.7166
5.691106  5.728481  14997854.2198
5.728481  5.748840  14918291.8521
5.748840  5.785750  14840510.4234
5.785750  5.807538  14764532.4384
5.807538  5.843902  14690385.1644
5.843902  5.864563  14618100.5851
5.864563  5.902077  14547715.2692
5.902077  5.922041  14479270.1850
5.922041  5.959276  14412810.4953
5.959276  5.980623  14348385.3625
5.980623  6.016626  14286047.7901
6.016626  6.037265  14225854.5198
6.037265  6.075440  14167865.9951
6.075440  6.095068  14112146.3986
6.095068  6.134033  14058763.7641
6.134033  6.154079  14007790.1595
6.154079  6.191326  13959301.9370
6.191326  6.210652  13913380.0430
6.210652  6.245691  13870110.3795
6.245691  6.271463  13829584.2133
6.271463  6.304261  13791898.6262
6.304261  6.330428  13757157.0056
6.330428  6.357303  13725469.5779
6.357303  6.390287  13696953.9899
6.390287  6.420844  13671735.9473
6.420844  6.444862  13649949.9186
6.444862  6.473014  13631739.9094
6.473014  6.506498  13617260.3051
6.506498  6.535510  13606676.7641
6.535510  6.560073  13600167.1240
6.560073  6.593023  13597922.2611
6.593023  6.617772  13600146.8168
6.617772  6.648352  13607059.6850
6.648352  6.679629  13618894.1449
6.679629  6.704866  13635897.5315
6.704866  6.736375  13658330.3699
6.736375  6.765376  13686464.9557
6.765376  6.794225  13720583.4432
6.794225  6.822436  13760975.5936
6.822436  6.853039  13807936.4163
6.853039  6.880553  13861763.9861
6.880553  6.909867  13922757.7207
6.909867  6.939506  13991217.3283
6.939506  6.967635  14067442.4944
6.967635  7.011316  14151733.1650
7.011316  7.035822  14244390.0276
7.035822  7.068295  14345714.5209
7.068295  7.092870  14456007.4556
7.092870  7.126992  14575565.1293
7.126992  7.149954  14704671.7098
7.149954  7.184598  14843586.6697
7.184598  7.208582  14992526.2239
7.208582  7.241577  15151638.0906
7.241577  7.265467  15320969.5163
7.265467  7.300298  15500429.4125
7.300298  7.322609  15689746.6387
7.322609  7.357788  15888427.8512
7.357788  7.381167  16095719.7555
7.381167  7.414801  16310581.7501
7.414801  7.438018  16531675.4801
7.438018  7.473592  16757377.3647
7.473592  7.495310  16985818.4596
7.495310  7.533381  17214953.0369
7.533381  7.554937  17442653.2853
7.554937  7.588293  17666823.1654
7.588293  7.610801  17885520.5514
7.610801  7.632473  18097074.2513
7.632473  7.647478  18300182.0628
7.647478  7.652867  18493977.9873
7.652867  7.661868  18678060.8750
7.661868  7.667919  18852482.3327
7.667919  7.680451  19017697.5861
7.680451  7.683354  19174487.9507
7.683354  7.695758  19323866.6921
7.695758  7.701565  19466980.8594
7.701565  7.711286  19605020.2638
7.711286  7.717720  19739141.7224
7.717720  7.730368  19870412.8804
7.730368  7.733121  19999776.2633
7.733121  7.744654  20128031.3932
7.744654  7.749961  20255831.1686
7.749961  7.758927  20383688.2409
7.758927  7.765036  20511987.5041
7.765036  7.777649  20641001.6090
7.777649  7.780553  20770907.2162
7.780553  7.792980  20901800.2499
7.792980  7.798659  21033708.6813
7.798659  7.808090  21166601.5011
