# RBHG Variable-Width Bremsstrahlung Distribution
# SOURCE: ../../../../hdsim_cobrems/BGRate_41541.root : dRtdkH1
# GENERATED: 2025-11-17 12:36:19
#
# ENERGY_LIMITS (GeV):
# E_MIN_AVAILABLE 2.907694
# E_MAX_AVAILABLE 11.408239
# TOTAL_BINS 649
# TOTAL_COUNTS 13670391141.07
#
# WARNING: User-set E_LO must be >= E_MIN_AVAILABLE
# WARNING: User-set E_HI must be <= E_MAX_AVAILABLE
#
# Format: lowEdge(GeV)  highEdge(GeV)  counts
2.907694  2.933101  22036491.9529
2.933101  2.965725  23353807.0703
2.965725  2.991155  24595165.2300
2.991155  3.023861  25745936.2688
3.023861  3.049291  26793683.8485
3.049291  3.081915  27728516.5014
3.081915  3.107345  28543325.5398
3.107345  3.140144  29233901.0083
3.140144  3.165516  29798924.5467
3.165516  3.198303  30239845.4905
3.198303  3.223617  30560653.1667
3.223617  3.256497  30767563.6707
3.256497  3.281776  30868643.1022
3.281776  3.314586  30873391.1262
3.314586  3.339842  30792308.8276
3.339842  3.372815  30636473.3037
3.372815  3.398001  30417138.5800
3.398001  3.431055  30145378.6187
3.431055  3.456206  29831783.8149
3.456206  3.489295  29486217.8562
3.489295  3.514423  29117637.5033
3.514423  3.547571  28733974.0288
3.547571  3.572675  28342071.9217
3.572675  3.604126  27947678.1363
3.604126  3.628254  27555473.6653
3.628254  3.662459  27169138.4900
3.662459  3.686459  26791440.9191
3.686459  3.720734  26424342.8216
3.720734  3.744642  26069113.1559
3.744642  3.778847  25726443.3334
3.778847  3.802696  25396559.2130
3.802696  3.837122  25079325.7821
3.837122  3.860948  24774341.7667
3.860948  3.895316  24481022.4641
3.895316  3.919037  24198669.9874
3.919037  3.953696  23926530.8316
3.953696  3.977347  23663841.2278
3.977347  4.012041  23409861.1639
4.012041  4.035611  23163898.2303
4.035611  4.070385  22925322.6209
4.070385  4.093875  22693574.7136
4.093875  4.170571  22468166.6680
4.170571  4.194769  22248679.4424
4.194769  4.228672  22034756.5489
4.228672  4.252777  21826095.7447
4.252777  4.286820  21622439.7047
4.286820  4.310843  21423566.5537
4.310843  4.345014  21229280.9444
4.345014  4.368933  21039406.1856
4.368933  4.402498  20853777.7353
4.402498  4.425871  20672238.2091
4.425871  4.460692  20494633.9083
4.460692  4.483984  20320812.7546
4.483984  4.519363  20150623.4378
4.519363  4.542968  19983915.5288
4.542968  4.577394  19820540.2926
4.577394  4.600871  19660351.9418
4.600871  4.635390  19503209.0961
4.635390  4.658763  19348976.2527
4.658763  4.693433  19197525.1203
4.693433  4.716689  19048735.7128
4.716689  4.750220  18902497.1473
4.750220  4.772512  18758708.1244
4.772512  4.808112  18617277.1004
4.808112  4.830636  18478122.1817
4.830636  4.868073  18341170.7872
4.868073  4.890237  18206359.1289
4.890237  4.924988  18073631.5653
4.924988  4.947245  17942939.8770
4.947245  4.983403  17814242.5122
4.983403  5.006741  17687503.8381
5.006741  5.041108  17562693.4284
